APSIM = 7.7
 Title     date      year    day      subsurface_drain     sum_subsurface_drain    leach_    sum_leach_        
  ()        (dd/mm/yyyy)        ()      ()         (mm)                   (mm)             (kg/ha)     (kg/ha)
P      09/09/2010      2010      252      0.003      250.581837333333      ?      0.1503024993864
P      13/09/2010      2010      256      0      250.581837333333      ?      0.1503024993864
P      16/09/2010      2010      259      0      250.581837333333      ?      0.1503024993864
P      20/09/2010      2010      263      0      250.581837333333      ?      0.1503024993864
P      23/09/2010      2010      266      24.935      275.516424666667      0.013      0.160247349810432
P      27/09/2010      2010      270      32.453      307.969073333333      0.001      0.160461478678464
P      30/09/2010      2010      273      2.57      310.539045333333      0.001      0.1615742806464
P      04/10/2010      2010      277      0.019      310.558095333333      ?      0.1615742806464
P      07/10/2010      2010      280      0      310.558095333333      ?      0.1615742806464
P      11/10/2010      2010      284      0      310.558095333333      ?      0.1615742806464
P      25/10/2010      2010      298      0      310.558095333333      ?      0.1615742806464
P      01/11/2010      2010      305      0      310.558095333333      ?      0.1615742806464
P      08/11/2010      2010      312      0      310.558095333333      ?      0.1615742806464
P      17/11/2010      2010      321      8.847      319.405      0.005      0.165632367791232
P      23/11/2010      2010      327      0.007      319.412366      ?      0.165632367791232
P      01/04/2011      2011      91      ?      0      ?      0
P      04/04/2011      2011      94      0.214      0.214037333333333      0      1.0717466112e-05
P      08/04/2011      2011      98      0.307      0.520954      ?      1.0717466112e-05
P      11/04/2011      2011      101      0      0.520954      ?      1.0717466112e-05
P      15/04/2011      2011      105      0      0.520954      ?      1.0717466112e-05
P      18/04/2011      2011      108      4.939      5.459476      0.007      0.005112019360224
P      22/04/2011      2011      112      12.856      18.3158553333333      0.012      0.016982715350304
P      25/04/2011      2011      115      2.067      20.3831613333333      0.004      0.01985147748
P      29/04/2011      2011      119      22.12      42.502836      0.027      0.047272474885392
P      02/05/2011      2011      122      2.995      45.4981733333333      0.005      0.052137309964896
P      09/05/2011      2011      129      0.685      46.1832113333333      0.004      0.053243133709248
P      12/05/2011      2011      132      0      46.1832113333333      ?      0.053243133709248
P      17/05/2011      2011      137      2.822      49.005236      0.003      0.055723646302128
P      19/05/2011      2011      139      0.661      49.6664826666667      0.001      0.056149801244208
P      23/05/2011      2011      143      13.142      62.8089506666667      0.011      0.067065777891504
P      26/05/2011      2011      146      15.743      78.5517013333333      0.006      0.0731699174988
P      31/05/2011      2011      151      8.53      87.0815293333333      0.006      0.07962693646104
P      02/06/2011      2011      153      0.199      87.2804113333333      0.001      0.07977313575648
P      06/06/2011      2011      157      0.017      87.2973446666667      0      0.079773254462592
P      09/06/2011      2011      160      0      87.2976833333333      ?      0.079773254462592
P      14/06/2011      2011      165      11.991      99.288346      0.004      0.083380661134704
P      16/06/2011      2011      167      2.229      101.517619333333      0.001      0.084035918872944
P      20/06/2011      2011      171      0.629      102.146354      0      0.084208424290704
P      22/06/2011      2011      173      6.663      108.809451333333      0.002      0.085734336246912
P      27/06/2011      2011      178      4.151      112.960234666667      0.001      0.086483503238256
P      30/06/2011      2011      181      2.849      115.80876      0.001      0.087115430985984
P      05/07/2011      2011      186      0.029      115.838224      ?      0.087115430985984
P      07/07/2011      2011      188      0      115.838224      ?      0.087115430985984
P      11/07/2011      2011      192      0      115.838224      ?      0.087115430985984
P      14/07/2011      2011      195      0      115.838224      ?      0.087115430985984
P      25/07/2011      2011      206      0      115.838224      ?      0.087115430985984
P      01/08/2011      2011      213      0      115.838224      ?      0.087115430985984
P      09/08/2011      2011      221      0      115.838224      ?      0.087115430985984
P      23/08/2011      2011      235      0      115.838224      ?      0.087115430985984
P      31/08/2011      2011      243      0      115.838224      ?      0.087115430985984
P      07/09/2011      2011      250      0      115.838224      ?      0.087115430985984
P      22/03/2012      2012      82      ?      0      ?      0
P      29/03/2012      2012      89      5.619      5.61864933333333      0.004      0.00295561260864
P      05/04/2012      2012      96      2.432      8.05019133333333      0.002      0.004614098094432
P      17/04/2012      2012      108      19.915      27.9650613333333      0.019      0.023747293369728
P      20/04/2012      2012      111      4.482      32.447484      0.003      0.027064043887104
P      24/04/2012      2012      115      7.562      40.009318      0.004      0.03148736854104
P      03/05/2012      2012      124      4.131      61.0292573333333      0.002      0.04379331320928
P      07/05/2012      2012      128      7.95      47.9591793333333      0.004      0.035734753778976
