ApsimVersion = 7.6
Title = Pnew
           Date  AboveGroundWt  BelowGroundWt AboveGroundNPct   BelowGroundN SpeciesLiveWt(1) SpeciesLiveWt(2) SpeciesLiveWt(3) SpeciesTotalWt(1) SpeciesTotalWt(2) SpeciesTotalWt(3)      HarvestWt AboveGroundLiveN AboveGroundDeadN     watertable        OC_20cm        OC_90cm       OC_180cm      n2o_atm() nitrification()         dnit()    MaySeptNDep   MaySeptTiles    MaySeptRain  MaySeptrunoff     MaySepEvap    MaySepTrans  MaySepNnetMin    MaySepDenit MaySeptTilesNO3 MaySepResImmob  MaySepNuptake       biom_c()    surfaceom_c        fom_c()        hum_c()   surfaceom_wt AboveGroundDeadWt     Cover_dead        C_remob     LeafDeadWt LitterDepositionWt RootSenescenceWt             wf    surfaceom_n surfaceom_cover surface_CN_ratio          no3()          nh4() tf_surface_om1             es    WaterUptake            eos    Cover_green dlt_n_min_tot()    dlt_n_min() dlt_n_min_res()    PlantFixedN NitrogenDemand NitrogenSupply NitrogenUptake PlantRemobilisedN            lai      LAI_green       LAI_dead dlt_fom_c_atm() dlt_fom_c_biom() dlt_fom_c_hum() dlt_fom_c_pool1() dlt_fom_c_pool2() dlt_fom_c_pool3() dlt_fom_n_min() dlt_res_c_biom() dlt_res_c_hum() DefoliatedDigestibility       HarvestN HerbageDigestibility RootSenescenceN       roots_cn   Remaining_Wt    Surface_sot        fom_n()      nit_tot()        sot_cnr       sot_cnrf       roots_N%         oc_5cm        oc_15cm        oc_30cm        oc_60cm       oc_100cm        IntRadn       soil_co2       root_co2  soil_root_co2           sw_5          sw_10          sw_15          sw_35          sw_75           st_5          st_10          st_15          st_35          st_75 subsurface_drain       GLFwater        GLFtemp           GLFn         ToRoot       ToRootDM        sotiris         fom_cn           year subsurface_drain_no3    N_conc_mgLN
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)             (%)        (kg/ha)          (kg/ha)          (kg/ha)          (kg/ha)           (kg/ha)           (kg/ha)           (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)           (mm)             ()             ()             ()        (kg/ha)         (kg/ha)        (kg/ha)             ()           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (kg/ha)            (%)        (kg/ha)        (kg/ha)            (kg/ha)          (kg/ha)          (0-1)        (kg/ha)       (m^2/m^2)               ()        (kg/ha)        (kg/ha)             ()           (mm)           (mm)           (mm)            (%)         (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (kg/ha)             ()             ()             ()         (kg/ha)          (kg/ha)         (kg/ha)           (kg/ha)           (kg/ha)           (kg/ha)         (kg/ha)          (kg/ha)         (kg/ha)                   (0-1)        (kg/ha)                (0-1)         (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)             ()             ()             ()             ()             ()             ()             ()             ()           (MJ)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)          (0-1)          (0-1)          (0-1)          (0-1)        (kg/ha)             ()             ()         (year)              (kg/ha)             ()
     15/05/2008          181.1          121.5           2.349            1.6             63.7             57.0             56.0              65.1              58.4              57.6            0.0              4.2              0.0       1820.000              ?              ?              ?            0.0             0.9            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3453.8           74.3          245.0       247827.4          185.7               4.3          0.003            0.0            2.8                0.8              0.6          0.202            3.5           0.039           21.136           49.0            5.4          0.521          0.660          0.600          3.761          0.148             0.9            0.9            -0.0            0.0            0.2           54.0            0.2               0.0              ?          0.345          0.006             3.0              1.8             0.2               1.9               2.9               0.1            -0.0              0.3             0.0                   0.000            0.0                0.920             0.0         30.577              ?              ?           11.2        23027.0          0.011          0.677          1.308          2.979          2.464          1.705          1.258          0.556          3.329         10.498          0.488         10.986          0.172          0.246          0.265          0.290          0.289         17.833         17.179         16.789         16.454         16.194            0.000          1.000          0.861          1.000          0.370            3.3        686.388         21.951           2008                  0.0              ?
     16/05/2008          186.4          124.5           2.351            1.6             66.1             58.5             57.3              67.6              59.9              58.9            0.0              4.4              0.0       1820.000              ?              ?              ?            0.0             1.0            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3450.9           74.6          239.9       247823.4          186.5               4.5          0.003            0.0            2.9                0.8              0.7          0.000            3.5           0.040           21.208           49.8            5.3          0.651          0.524          0.761          4.146          0.152             1.0            1.0             0.0            0.0            0.2           54.7            0.2               0.0              ?          0.354          0.006             3.3              2.0             0.2               2.0               3.3               0.1            -0.0              0.0             0.0                   0.000            0.0                0.920             0.0         30.464              ?              ?           10.9        23026.8          0.011          0.677          1.313          2.979          2.464          1.705          1.258          0.556          3.628         11.441          0.645         12.086          0.166          0.242          0.262          0.287          0.288         19.908         18.654         17.863         17.164         16.636            0.000          1.000          0.938          1.000          0.371            3.6        678.361         21.940           2008                  0.0              ?
     17/05/2008          192.1          127.4           2.351            1.7             68.7             59.9             58.6              70.3              61.5              60.4            0.0              4.5              0.0       1820.000              ?              ?              ?            0.0             1.2            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3447.3           75.0          234.1       247818.8          187.4               4.9          0.003            0.0            3.3                0.9              1.0          0.000            3.5           0.040           21.274           50.9            5.2          1.000          0.525          0.846          4.772          0.156             1.2            1.2             0.0            0.0            0.2           55.7            0.2               0.0              ?          0.363          0.007             3.7              2.2             0.2               2.2               3.8               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         30.347              ?              ?           10.7        23026.6          0.010          0.677          1.318          2.979          2.464          1.705          1.258          0.556          3.958         12.317          0.752         13.068          0.163          0.236          0.258          0.284          0.287         21.732         20.234         19.192         18.202         17.403            0.000          1.000          0.981          1.000          0.372            3.9        669.601         21.926           2008                  0.0              ?
     18/05/2008          198.6          131.2           2.356            1.7             71.7             61.8             60.3              73.3              63.3              62.1            0.0              4.7              0.0       1820.000              ?              ?              ?            0.0             1.2            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3443.7           75.3          228.4       247813.9          188.3               4.8          0.003            0.0            3.3                0.9              0.6          0.000            3.5           0.040           21.341           51.9            5.1          0.529          0.482          0.577          4.052          0.161             1.2            1.2             0.0            0.0            0.2           56.6            0.2               0.0              ?          0.375          0.007             3.6              2.1             0.2               2.0               3.8               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         30.231              ?              ?           10.4        23026.4          0.010          0.677          1.323          2.978          2.464          1.705          1.258          0.556          3.953         14.339          0.942         15.280          0.160          0.230          0.255          0.282          0.286         24.625         22.396         20.906         19.515         18.397            0.000          1.000          0.830          1.000          0.373            4.4        659.481         21.906           2008                  0.0              ?
     19/05/2008          205.8          135.2           2.359            1.8             75.0             63.8             62.1              76.6              65.3              63.9            0.0              4.8              0.0       1820.000              ?              ?              ?            0.0             1.2            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3440.1           75.7          223.2       247809.0          189.2               4.9          0.003            0.0            3.4                0.9              0.8          0.000            3.5           0.041           21.415           52.8            5.0          0.696          1.225          0.757          4.446          0.166             1.2            1.2             0.0            0.0            0.3           57.5            0.3               0.0              ?          0.388          0.007             3.3              2.0             0.2               1.8               3.7               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         30.106              ?              ?           10.2        23026.1          0.010          0.677          1.329          2.978          2.464          1.705          1.258          0.556          4.267         14.437          0.707         15.144          0.158          0.224          0.252          0.280          0.284         23.205         22.410         21.576         20.514         19.430            0.000          1.000          0.928          1.000          0.374            4.8        650.331         21.892           2008                  0.0              ?
     20/05/2008          211.6          138.7           2.363            1.9             77.8             65.5             63.6              79.3              66.9              65.4            0.0              5.0              0.0       1820.000              ?              ?              ?            0.0             1.1            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3436.7           76.1          218.3       247804.0          190.2               4.7          0.003            0.0            3.3                0.9              0.6          0.000            3.5           0.041           21.487           53.7            5.0          0.469          0.569          0.549          3.237          0.170             1.1            1.1             0.0            0.0            0.2           58.3            0.2               0.0              ?          0.399          0.007             3.1              1.8             0.2               1.6               3.4               0.1            -0.0              0.0             0.0                   0.000            0.0                0.920             0.0         29.980              ?              ?           10.0        23025.9          0.010          0.677          1.334          2.978          2.464          1.705          1.258          0.556          3.455         14.101          0.852         14.953          0.158          0.219          0.249          0.278          0.283         23.015         22.037         21.265         20.420         19.585            0.000          1.000          0.804          1.000          0.375            4.1        642.437         21.875           2008                  0.0              ?
     21/05/2008          219.7          143.4           2.368            1.9             81.6             67.8             65.7              83.1              69.2              67.4            0.0              5.2              0.0       1820.000              ?              ?              ?            0.0             1.1            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3433.3           76.4          213.7       247799.0          191.1               4.6          0.003            0.0            3.2                0.9              0.6          0.000            3.5           0.041           21.560           54.5            4.9          0.477          0.466          0.813          3.865          0.176             1.1            1.1             0.0            0.0            0.3           59.2            0.3               0.0              ?          0.414          0.006             2.9              1.7             0.2               1.4               3.3               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         29.882              ?              ?            9.8        23025.6          0.009          0.677          1.339          2.978          2.463          1.705          1.258          0.556          4.229         13.488          0.703         14.191          0.154          0.214          0.247          0.276          0.282         21.783         21.382         20.970         20.390         19.705            0.000          1.000          0.867          1.000          0.376            5.4        634.807         21.862           2008                  0.0              ?
     22/05/2008          228.6          148.7           2.372            2.0             85.8             70.3             68.0              87.2              71.7              69.7            0.0              5.4              0.0       1820.000              ?              ?              ?            0.0             1.1            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3429.7           76.8          209.3       247794.0          191.9               4.5          0.003            0.0            3.1                0.9              0.6          0.000            3.5           0.042           21.629           55.4            4.9          0.464          0.386          0.439          3.808          0.182             1.1            1.1             0.0            0.0            0.3           60.0            0.3               0.0              ?          0.430          0.006             2.8              1.7             0.2               1.3               3.3               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         29.760              ?              ?            9.6        23025.3          0.009          0.677          1.344          2.977          2.463          1.704          1.258          0.556          4.452         13.239          0.732         13.971          0.151          0.209          0.245          0.274          0.280         21.911         21.233         20.686         20.098         19.513            0.000          1.000          0.718          1.000          0.376            5.9        629.146         21.848           2008                  0.0              ?
     23/05/2008          237.1          153.8           2.377            2.1             89.8             72.7             70.3              91.2              74.0              71.9            0.0              5.6              0.0       1820.000              ?              ?              ?            0.0             1.1            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3427.2           74.1          204.9       247789.5          185.1               4.3          0.003            0.0            3.0                0.8              0.6          1.000            3.4           0.040           21.697           56.4            4.8          0.416          3.343          0.393          3.343          0.188             1.1            1.1            -0.0            0.0            0.3           60.9            0.3               0.0              ?          0.446          0.006             2.8              1.7             0.2               1.4               3.1               0.1            -0.0              1.1             0.1                   0.000            0.0                0.921             0.0         29.639              ?              ?            9.4        23025.3          0.009          0.677          1.350          2.977          2.463          1.704          1.258          0.556          4.159         13.280          0.747         14.028          0.148          0.204          0.244          0.272          0.279         22.081         21.379         20.844         20.233         19.603            0.000          0.993          0.673          1.000          0.379            5.7        624.357         21.833           2008                  0.0              ?
     24/05/2008          239.1          154.8           2.377            2.1             90.9             73.3             70.7              92.3              74.6              72.3            0.0              5.7              0.0       1820.000              ?              ?              ?            0.0             1.0            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3425.0           71.1          201.0       247785.6          177.9               4.3          0.003            0.0            3.0                0.8              0.7          0.981            3.2           0.039           21.794           57.2            4.8          0.468          1.408          0.310          1.408          0.189             1.0            1.0            -0.0            0.0            0.1           61.5            0.1               0.0              ?          0.450          0.006             2.5              1.5             0.2               1.2               2.8               0.1            -0.0              1.2             0.1                   0.000            0.0                0.919             0.0         29.530              ?              ?            9.2        23025.3          0.009          0.677          1.355          2.977          2.463          1.704          1.258          0.556          1.783         14.622          0.726         15.348          0.343          0.320          0.261          0.271          0.278         18.740         19.396         19.638         19.604         19.329            0.000          0.994          0.770          1.000          0.377            1.7        619.440         21.819           2008                  0.0              ?
