ApsimVersion = 7.4
Title	subsurface_drain	Date
()	(mm)	(dd/mm/yyyy)
P	0	20/09/2010
P	12.446	21/09/2010
P	7.789333334	22/09/2010
P	7.789333335	23/09/2010
P	10.75266667	24/09/2010
P	9.397999999	25/09/2010
P	6.688666667	26/09/2010
P	3.048000001	27/09/2010
P	1.354666668	28/09/2010
P	0.592666668	29/09/2010
P	0.084666667	30/09/2010
P	0	1/10/2010
P	0	2/10/2010
P	0	3/10/2010
P	0	4/10/2010
P	0	5/10/2010
P	0	6/10/2010
P	0	7/10/2010
P	0	8/10/2010
P	0	9/10/2010
P	0	10/10/2010
P	0	11/10/2010
P	0	12/11/2010
P	5.249333334	13/11/2010
P	2.116666665	14/11/2010
P	0.931333335	15/11/2010
P	0.423333334	16/11/2010
P	0.084666667	17/11/2010
P	0	18/11/2010
P	0	19/11/2010
P	0	20/11/2010
P	0	21/11/2010
P	0	22/11/2010
P	0	23/11/2010
P	0	24/11/2010
P	0.084666667	15/04/2011
P	2.455333333	16/04/2011
P	1.693333333	17/04/2011
P	1.016000001	18/04/2011
P	4.910666668	19/04/2011
P	4.572000002	20/04/2011
P	2.455333331	21/04/2011
P	1.269999999	22/04/2011
P	0.677333334	23/04/2011
P	0.592666669	24/04/2011
P	1.354666667	25/04/2011
P	10.58333333	26/04/2011
P	4.656666667	27/04/2011
P	4.487333332	28/04/2011
P	2.201333332	29/04/2011
P	1.185333335	30/04/2011
P	0.508000001	1/5/2011
P	0.423333334	2/5/2011
P	0.338666668	3/5/2011
P	0.084666667	4/5/2011
P	0.084666667	5/5/2011
P	0.084666667	6/5/2011
P	0	7/5/2011
P	0	8/5/2011
P	0	9/5/2011
P	0	10/5/2011
P	0	11/5/2011
P	0	12/5/2011
P	0	13/05/2011
P	0.254000001	14/05/2011
P	0.846666668	15/05/2011
P	1.354666667	16/05/2011
P	0.677333334	17/05/2011
P	0.423333335	18/05/2011
P	0	19/05/2011
P	5.334	20/05/2011
P	3.894666668	21/05/2011
P	2.709333332	22/05/2011
P	1.608666666	23/05/2011
P	0.846666667	24/05/2011
P	11.59933333	25/05/2011
P	5.588	26/05/2011
P	2.794	27/05/2011
P	1.608666667	28/05/2011
P	0.931333333	29/05/2011
P	0.338666668	30/05/2011
P	0.169333334	31/05/2011
P	0.084666667	1/6/2011
P	0	2/6/2011
