ApsimVersion = 7.4
Title	Date	sw_5	sw_10	sw_15	sw_35	sw_75	st_5	st_10	st_15	st_35	st_75	sw_5Error	sw_10Error	sw_15Error	sw_35Error	sw_75Error	st_5Error	st_10Error	st_15Error	st_35Error	st_75Error
()	(dd/mm/yyyy)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)
PF	20/08/2008	0.149898611	0.242460938	0.313234375	0.308446875	0.323094271	25.16319444	24.84322917	24.29270833	23.08229167	22.29166667	0.036011245	0.019044248	0.023753572	0.019423289	0.023005089	0.41328022	0.309904003	0.228296169	0.206057886	0.123726148
PF	21/08/2008	0.140018056	0.235458854	0.308058854	0.307199479	0.323001042	22.925	23.32447917	23.546875	23.01875	22.36979167	0.034146954	0.018640928	0.023355138	0.019418099	0.023124334	0.19738232	0.186458091	0.19335103	0.19588504	0.116027827
PF	22/08/2008	0.144128472	0.236763542	0.305280208	0.303211458	0.321059375	24.56875	23.909375	23.17239583	22.31770833	21.96302083	0.03412035	0.018269493	0.022966379	0.019410616	0.022987465	0.310356072	0.229315766	0.139291193	0.145943659	0.067627489
PF	23/08/2008	0.144667361	0.238253125	0.305689063	0.303842188	0.320794271	25.60763889	25.15208333	24.41614583	22.95364583	22.13645833	0.03458725	0.017913451	0.022399751	0.019276198	0.023043825	0.36747924	0.297395377	0.192921944	0.177182111	0.092376121
PF	24/08/2008	0.137040972	0.231211458	0.297091667	0.30103125	0.320190104	23.85972222	23.78072917	23.60364583	22.8625	22.2625	0.03398222	0.017547295	0.021593774	0.019241835	0.022988944	0.432284276	0.320086585	0.245800043	0.199113705	0.094468696
PF	25/08/2008	0.132302778	0.2269	0.289834375	0.296777604	0.317946875	23.17430556	23.10833333	22.99479167	22.4515625	22.02916667	0.033392502	0.017336216	0.020637105	0.019150738	0.022937052	0.411552527	0.321003517	0.253060691	0.21180335	0.090623004
PF	26/08/2008	0.127863889	0.223607813	0.284424479	0.293485938	0.315644792	22.57708333	22.66979167	22.65364583	22.16666667	21.79791667	0.032833027	0.017185813	0.019602545	0.01903562	0.02291276	0.306415299	0.270550734	0.220866702	0.2001139	0.090110689
PF	27/08/2008	0.124871528	0.218907813	0.279597396	0.290545833	0.313552604	21.31180556	21.58177083	21.89270833	21.79166667	21.5484375	0.031183161	0.016548175	0.018967371	0.018808019	0.022916926	0.192586611	0.198623327	0.194271066	0.177048608	0.069552217
PF	28/08/2008	0.206693056	0.253180208	0.295527083	0.28910625	0.311300521	23.45277778	22.9765625	22.39635417	21.5109375	21.22916667	0.047306673	0.010212063	0.022093354	0.018906825	0.023148599	0.206871025	0.215537548	0.13428581	0.158473474	0.045904301
PF	29/08/2008	0.190886806	0.247095313	0.292327083	0.28925625	0.311103125	21.90902778	21.96510417	22.0359375	21.61822917	21.28802083	0.045838898	0.010886731	0.02105648	0.01912207	0.023266618	0.246084304	0.112166349	0.112050204	0.130041212	0.041903623
PF	30/08/2008	0.169227778	0.240230729	0.2889	0.287723958	0.309445313	22.25277778	22.06145833	21.91302083	21.3828125	21.10729167	0.042047279	0.013226886	0.020231841	0.019348792	0.023174961	0.19434025	0.139229184	0.130407833	0.120936184	0.028034835
PF	31/08/2008	0.153654861	0.235233333	0.286639063	0.286982813	0.308180729	22.53125	22.284375	22.07708333	21.39375	21.0375	0.038268667	0.014853595	0.019660368	0.019536327	0.023104392	0.247355808	0.194287821	0.147316368	0.131794505	0.0307012
PF	1/9/2008	0.146788889	0.233484896	0.285803125	0.286169271	0.307161979	23.66319444	23.0984375	22.546875	21.540625	21.06510417	0.036481778	0.015962051	0.019287347	0.019643348	0.023186643	0.35064081	0.251898714	0.162322954	0.153900154	0.03610819
PF	2/9/2008	0.141842361	0.232707813	0.287011979	0.287116667	0.307171354	24.14513889	23.87760417	23.43333333	22.11510417	21.36197917	0.035442058	0.016579625	0.019013465	0.019753227	0.023333918	0.176384788	0.188520324	0.145423531	0.161312378	0.05587824
PF	3/9/2008	0.128054167	0.221254167	0.278182292	0.283500521	0.306169792	20.52430556	21.13854167	21.73177083	21.71875	21.40416667	0.033429788	0.01627768	0.018527392	0.019493522	0.023259405	0.140251992	0.177112947	0.139322349	0.12937651	0.037548194
