ApsimVersion = 7.4
Title	year_	day	Date	plant_n_conc	rootgreennconc	biomass	root
()	(yer)	()	(dd/mm/yyyy)	(%)	(%)	(kg/ha)	(kg/ha)
P	2011	136	16/05/2011	2.29	?	551.964286	?
P	2011	151	31/05/2011	1.97	?	1249.464286	?
P	2011	154	3/6/2011	?	1.03	?	2059.117268
P	2011	161	10/6/2011	1.08	?	2840	?
P	2011	175	24/06/2011	1	?	4080.357143	?
P	2011	188	7/7/2011	0.97	?	6091.785714	?
P	2011	210	29/07/2011	?	0.74	?	2158.988402
P	2011	214	2/8/2011	0.69	?	9273.214286	?
P	2011	223	11/8/2011	0.53	?	9144.642857	?
P	2011	238	26/08/2011	0.65	?	9857.142857	?
P	2011	251	8/9/2011	0.47	?	?	?
P	2011	252	9/9/2011	?	?	8021.428571	?
P	2011	265	22/09/2011	0.44	?	?	?
P	2011	266	23/09/2011	?	0.78	8401.785714	3591.333763
P	2011	292	19/10/2011	0.29	?	?	?
P	2011	293	20/10/2011	?	?	7211.645988	?
P	2011	305	1/11/2011	?	0.74	?	2855.831186
P	2011	0	31/12/2010	0	?	?	?
P	2011	94	4/4/2011	2.32	?	?	?
P	2011	95	5/4/2011	?	?	30.714286	?
P	2011	98	8/4/2011	?	?	?	0
P	2011	107	17/04/2011	3.15	?	85.178571	?
P	2011	118	28/04/2011	2.71	?	48.214286	?
P	2011	129	9/5/2011	2.24	?	242.142857	?
P	2011	136	16/05/2011	2.03	?	908.392857	?
P	2011	151	31/05/2011	1.51	?	1675	?
P	2011	154	3/6/2011	?	1.12	?	1340.045103
P	2011	161	10/6/2011	1.22	?	3183.035714	?
P	2011	175	24/06/2011	1.05	?	4021.071429	?
P	2011	188	7/7/2011	0.67	?	5965.892857	?
P	2011	210	29/07/2011	?	0.83	?	2555.895619
P	2011	214	2/8/2011	0.78	?	9025	?
P	2011	223	11/8/2011	0.88	?	9801.785714	?
P	2011	238	26/08/2011	0.44	?	9041.071429	?
P	2011	251	8/9/2011	0.71	?	?	?
P	2011	252	9/9/2011	?	?	7260.714286	?
P	2011	265	22/09/2011	0.45	?	?	?
P	2011	266	23/09/2011	?	0.62	7853.571429	3047.680412
P	2011	292	19/10/2011	0.27	?	?	?
P	2011	293	20/10/2011	?	?	6803.753679	?
P	2011	305	1/11/2011	?	0.7	?	3635.309278
P	2011	0	31/12/2010	0	?	?	?
P	2011	95	5/4/2011	?	?	11.964286	?
P	2011	98	8/4/2011	?	?	?	0
P	2011	107	17/04/2011	3.26	?	37.678571	?
P	2011	118	28/04/2011	2.45	?	47.142857	?
P	2011	129	9/5/2011	2.91	?	242.678571	?
P	2011	136	16/05/2011	2.3	?	754.285714	?
P	2011	151	31/05/2011	1.63	?	1838.392857	?
P	2011	154	3/6/2011	?	0.98	?	1795.58634
P	2011	161	10/6/2011	1.36	?	4177.142857	?
P	2011	175	24/06/2011	0.73	?	4261.071429	?
P	2011	188	7/7/2011	1.05	?	6229.821429	?
P	2011	210	29/07/2011	?	0.86	?	2806.056701
P	2011	214	2/8/2011	1.07	?	10580.35714	?
P	2011	223	11/8/2011	0.64	?	9504.285714	?
P	2011	238	26/08/2011	0.52	?	11083.92857	?
P	2011	251	8/9/2011	0.45	?	?	?
P	2011	252	9/9/2011	?	?	9705.357143	?
P	2011	265	22/09/2011	0.61	?	?	?
P	2011	266	23/09/2011	?	0.69	8803.571429	4568.298969
P	2011	292	19/10/2011	0.3	?	?	?
P	2011	293	20/10/2011	?	?	7847.114627	?
P	2011	305	1/11/2011	?	0.7	?	5987.274485
