ApsimVersion = 7.4
Title	year	Date	soil_co2
()	(year)	(dd/mm/yyyy)	(kg/ha)
PF	2010	8/9/2010	19.03728
PF	2010	8/9/2010	28.39261
PF	2010	13/09/2010	24.79979
PF	2010	13/09/2010	24.86978
PF	2010	13/09/2010	25.77965
PF	2010	13/09/2010	32.56868
PF	2010	24/09/2010	20.81036
PF	2010	24/09/2010	18.24406
PF	2010	24/09/2010	21.81355
PF	2010	24/09/2010	20.32043
PF	2011	9/5/2011	17.89411
PF	2011	9/5/2011	32.07875
PF	2011	9/5/2011	39.82431
PF	2011	9/5/2011	33.8285
PF	2011	17/05/2011	26.38623
PF	2011	17/05/2011	29.41913
PF	2011	17/05/2011	24.79979
PF	2011	17/05/2011	34.15512
PF	2011	24/05/2011	40.22092
PF	2011	24/05/2011	57.53178
PF	2011	24/05/2011	43.11384
PF	2011	24/05/2011	59.32819
PF	2011	1/6/2011	35.71823
PF	2011	1/6/2011	47.54654
PF	2011	1/6/2011	31.91544
PF	2011	1/6/2011	54.3589
PF	2011	16/06/2011	39.52102
PF	2011	16/06/2011	56.03866
PF	2011	16/06/2011	35.88154
PF	2011	16/06/2011	44.23368
PF	2011	24/06/2011	34.59839
PF	2011	24/06/2011	53.02909
PF	2011	24/06/2011	24.14655
PF	2011	24/06/2011	43.55711
PF	2011	29/06/2011	34.2951
PF	2011	29/06/2011	47.28991
PF	2011	29/06/2011	33.05861
PF	2011	29/06/2011	43.46379
PF	2011	6/7/2011	49.52959
PF	2011	6/7/2011	56.76189
PF	2011	6/7/2011	47.14993
PF	2011	6/7/2011	49.38961
PF	2011	13/07/2011	46.45003
PF	2011	13/07/2011	51.48931
PF	2011	13/07/2011	24.79979
PF	2011	13/07/2011	31.42551
PF	2011	22/07/2011	39.35771
PF	2011	22/07/2011	77.96886
PF	2011	22/07/2011	51.02271
PF	2011	22/07/2011	72.92958
PF	2011	4/8/2011	41.73737
PF	2011	4/8/2011	44.86359
PF	2011	4/8/2011	23.88992
PF	2011	4/8/2011	30.70228
PF	2011	11/8/2011	39.31105
PF	2011	11/8/2011	37.63129
PF	2011	11/8/2011	33.71185
PF	2011	11/8/2011	34.48174
PF	2011	19/08/2011	49.10965
PF	2011	19/08/2011	49.27296
PF	2011	19/08/2011	33.80517
PF	2011	19/08/2011	32.94196
PF	2011	25/08/2011	31.82212
PF	2011	25/08/2011	29.25582
PF	2011	25/08/2011	23.60996
PF	2011	25/08/2011	31.33219
PF	2011	7/9/2011	22.02352
PF	2011	7/9/2011	19.85383
PF	2011	7/9/2011	21.60358
PF	2011	7/9/2011	24.98643
PF	2011	15/09/2011	11.29172
PF	2011	15/09/2011	11.03509
PF	2011	15/09/2011	11.08175
PF	2011	15/09/2011	12.29491
PF	2011	20/09/2011	25.14974
PF	2011	20/09/2011	29.51245
PF	2011	20/09/2011	27.34276
PF	2011	20/09/2011	27.34276
PF	2011	28/09/2011	15.8644
PF	2011	28/09/2011	15.8644
PF	2011	28/09/2011	16.331
PF	2011	28/09/2011	19.66719
