ApsimVersion = 7.5
Title	Date	sw_5	sw_10	sw_15	sw_35	sw_75	st_5	st_10	st_15	st_35	st_75
()	(dd/mm/yyyy)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)
P	9/9/2008	0.162838542	0.178885417	0.180118056	0.212994792	0.210152778	14.17291667	14.54270833	14.84027778	15.86875	16.41041667
P	10/9/2008	0.161859375	0.182229167	0.181944444	0.21259375	0.208479167	15.74010417	15.7234375	15.44930556	15.82135417	16.07916667
P	11/9/2008	0.185947917	0.206869792	0.207909722	0.231739583	0.222534722	18.390625	18.021875	17.09236111	16.5859375	16.33055556
P	12/9/2008	0.254682292	0.278411458	0.2794375	0.303677083	0.273076389	18.93385417	18.86927083	18.24652778	17.659375	17.06736111
P	13/09/2008	0.260010417	0.285104167	0.279625	0.314838542	0.285027778	19.50989583	19.29010417	18.47569444	17.93489583	17.43194444
P	14/09/2008	0.239072917	0.258640625	0.267375	0.308541667	0.280888889	16.78385417	17.41197917	17.70138889	17.92395833	17.61041667
P	15/09/2008	0.225479167	0.246776042	0.258736111	0.301395833	0.276368056	15.29010417	15.7484375	16.08055556	16.86979167	17.09513889
P	16/09/2008	0.218994792	0.243036458	0.255041667	0.296911458	0.272361111	16.04479167	16.0796875	15.92708333	16.33333333	16.56527778
P	17/09/2008	0.218416667	0.242682292	0.255277778	0.296354167	0.270506944	17.85208333	17.60260417	16.95486111	16.66145833	16.52361111
P	18/09/2008	0.216729167	0.240921875	0.255833333	0.297328125	0.270763889	18.7609375	18.584375	17.89444444	17.31041667	16.87013889
P	19/09/2008	0.210171875	0.236442708	0.254548611	0.297057292	0.270805556	18.734375	18.65208333	18.12291667	17.64270833	17.18402778
P	20/09/2008	0.203234375	0.231640625	0.252902778	0.296130208	0.270604167	18.5171875	18.478125	18.06944444	17.72395833	17.32291667
P	21/09/2008	0.1985	0.227161458	0.251381944	0.29515625	0.269944444	18.3640625	18.3859375	18.03333333	17.7609375	17.37291667
P	22/09/2008	0.194479167	0.223171875	0.2500625	0.294427083	0.269465278	18.1953125	18.259375	17.94583333	17.76041667	17.39583333
P	23/09/2008	0.209171875	0.235416667	0.256027778	0.297057292	0.270527778	19.634375	19.30572917	18.46805556	17.87760417	17.42777778
P	24/09/2008	0.2583125	0.274213542	0.275798611	0.313473958	0.285472222	19.37135417	19.34583333	18.78472222	18.28854167	17.72361111
P	25/09/2008	0.24334375	0.258260417	0.2689375	0.309578125	0.283180556	18.559375	18.621875	18.28819444	18.13645833	17.76180556
P	26/09/2008	0.23703125	0.254973958	0.2678125	0.308552083	0.281798611	19.359375	19.28645833	18.70902778	18.23697917	17.76388889
P	27/09/2008	0.228614583	0.250067708	0.266076389	0.307864583	0.281131944	18.98072917	19.059375	18.65972222	18.34166667	17.87569444
P	28/09/2008	0.217083333	0.24265625	0.262152778	0.305755208	0.279986111	17.2953125	17.77291667	17.87777778	18.10520833	17.82291667
P	29/09/2008	0.251229167	0.265182292	0.2693125	0.309739583	0.282854167	16.909375	17.2828125	17.26805556	17.56145833	17.46180556
P	30/09/2008	0.237234375	0.249640625	0.262402778	0.305005208	0.280479167	14.1171875	14.94635417	15.65347222	16.7453125	16.99722222
P	1/10/2008	0.228052083	0.244088542	0.257902778	0.3001875	0.276486111	13.7078125	14.434375	14.80138889	15.8703125	16.26944444
P	2/10/2008	0.218598958	0.237729167	0.253347222	0.295635417	0.272777778	12.69479167	13.34010417	13.72152778	15.0078125	15.59652778
P	3/10/2008	0.214364583	0.235473958	0.252402778	0.293239583	0.270041667	13.25729167	13.7046875	13.79375	14.63489583	15.07847222
P	4/10/2008	0.209104167	0.231697917	0.2505625	0.2918125	0.268270833	13.1171875	13.515625	13.60138889	14.41197917	14.79375
P	5/10/2008	0.212385417	0.233817708	0.252777778	0.29203125	0.267430556	15.67552083	15.41458333	14.70694444	14.63958333	14.70763889
P	6/10/2008	0.217041667	0.236869792	0.256652778	0.295760417	0.268868056	17.50260417	17.23333333	16.27986111	15.6203125	15.19722222
P	7/10/2008	0.278859375	0.296609375	0.284541667	0.3164375	0.286090278	15.61979167	16.29375	16.24861111	16.240625	15.77777778
P	8/10/2008	0.253088542	0.261098958	0.264625	0.304088542	0.280104167	12.8875	13.5890625	13.94652778	15.09947917	15.39722222
P	9/10/2008	0.242598958	0.250885417	0.259777778	0.298328125	0.274694444	12.828125	13.45885417	13.66041667	14.503125	14.80902778
P	10/10/2008	0.235671875	0.246421875	0.256791667	0.29534375	0.271416667	13.17239583	13.52552083	13.5	14.16770833	14.44444444
P	11/10/2008	0.218972973	0.245189189	?	0.336189189	0.326702703	14.35675676	14.14054054	?	14.73513514	14.12432432
P	13/11/2008	0.2875	0.2854	0.262	0.2622	0.2437	8.04	7.86	6.87	6.75	7.87
P	14/11/2008	0.305791667	0.297416667	0.27975	0.283270833	0.258625	6.9125	7.389583333	7.075	7.508333333	7.822916667
P	15/11/2008	0.286895833	0.283	0.2713125	0.2809375	0.258583333	3.483333333	4.735416667	5.3625	7.160416667	7.89375
P	16/11/2008	0.259083333	0.267708333	0.263583333	0.274604167	0.2531875	2.5875	3.554166667	4.05	6.10625	7.25
P	17/11/2008	0.249854167	0.261395833	0.260395833	0.271395833	0.249458333	2.022916667	3.066666667	3.566666667	5.564583333	6.729166667
P	18/11/2008	0.2029375	0.252166667	0.257083333	0.267958333	0.246145833	0.833333333	1.997916667	2.660416667	4.920833333	6.23125
P	19/11/2008	0.209583333	0.2489375	0.255645833	0.2658125	0.243708333	1.45	2.214583333	2.477083333	4.397916667	5.710416667
P	20/11/2008	0.217229167	0.246729167	0.254895833	0.264645833	0.242083333	1.235416667	2.189583333	2.5375	4.335416667	5.475
P	21/11/2008	0.126729167	0.221541667	0.251416667	0.262479167	0.2400625	0.1	1.316666667	1.81875	3.902083333	5.177083333
P	22/11/2008	0.097375	0.196020833	0.248104167	0.2604375	0.238166667	0.129166667	1.0625	1.466666667	3.472916667	4.777083333
P	23/11/2008	0.127125	0.204104167	0.246395833	0.259479167	0.237	0.408333333	1.170833333	1.45	3.277083333	4.5125
P	24/11/2008	0.202375	0.225041667	0.246625	0.258875	0.2361875	0.8625	1.460416667	1.570833333	3.179166667	4.3375
P	25/11/2008	0.183875	0.223041667	0.246729167	0.258479167	0.235583333	0.791666667	1.583333333	1.725	3.227083333	4.270833333
P	26/11/2008	0.176583333	0.220145833	0.246	0.258	0.235020833	0.8	1.55	1.679166667	3.197916667	4.20625
P	27/11/2008	0.177125	0.219208333	0.245729167	0.25775	0.234729167	0.904166667	1.65	1.729166667	3.179166667	4.145833333
P	28/11/2008	0.174708333	0.2184375	0.245604167	0.257270833	0.234	0.941666667	1.68125	1.754166667	3.16875	4.097916667
P	29/11/2008	0.1651875	0.2175625	0.245104167	0.256895833	0.2335625	0.766666667	1.579166667	1.683333333	3.127083333	4.04375
P	30/11/2008	0.1975625	0.220770833	0.244958333	0.256854167	0.233395833	1.089583333	1.758333333	1.76875	3.102083333	3.972916667
P	1/4/2009	0.172375	0.2136875	0.227604167	0.244208333	0.223770833	4.31875	4.15625	3.260416667	3.279166667	3.195833333
P	2/4/2009	0.169833333	0.212708333	0.227354167	0.243604167	0.222958333	4.297916667	4.4875	3.7375	3.55625	3.320833333
P	3/4/2009	0.169208333	0.21275	0.227083333	0.242916667	0.222145833	5.677083333	5.266666667	4.070833333	3.639583333	3.420833333
P	4/4/2009	0.171916667	0.213979167	0.228979167	0.2441875	0.2225	6.491666667	6.38125	5.279166667	4.460416667	3.860416667
P	5/4/2009	0.2294375	0.246020833	0.241979167	0.249625	0.224916667	3.31875	4.283333333	4.2625	4.591666667	4.225
P	6/4/2009	0.2465625	0.259541667	0.253625	0.263666667	0.239166667	2.2625	2.858333333	2.666666667	3.56875	3.81875
P	7/4/2009	0.212395833	0.2383125	0.242229167	0.2600625	0.239104167	3.66875	3.685416667	2.9	3.208333333	3.433333333
P	8/4/2009	0.206833333	0.232375	0.239208333	0.256354167	0.235583333	5.054166667	4.927083333	3.910416667	3.622916667	3.51875
P	9/4/2009	0.1943125	0.227208333	0.237229167	0.254958333	0.233875	5.022916667	5.185416667	4.410416667	4.175	3.879166667
P	10/4/2009	0.192645833	0.226854167	0.237270833	0.254625	0.233208333	6.9	6.589583333	5.29375	4.552083333	4.154166667
P	11/4/2009	0.190291667	0.225958333	0.237270833	0.254583333	0.2325625	7.86875	7.452083333	6.0875	5.14375	4.585416667
P	12/4/2009	0.184854167	0.223104167	0.2369375	0.255145833	0.232770833	7.452083333	7.5375	6.616666667	5.845833333	5.120833333
P	13/04/2009	0.187041667	0.220875	0.234958333	0.2536875	0.2323125	6.316666667	6.70625	6.135416667	5.89375	5.383333333
P	14/04/2009	0.193666667	0.224645833	0.235270833	0.252770833	0.2314375	7.283333333	6.989583333	5.89375	5.522916667	5.275
P	15/04/2009	0.1919375	0.226645833	0.238145833	0.254875	0.232125	9.291666667	8.779166667	7.354166667	6.19375	5.547916667
P	16/04/2009	0.1843	0.2237	0.23895	0.2569	0.2328	7.685	8.465	8.05	7.08	6.025
P	12/5/2009	0.18036	0.28712	0.29448	0.31616	0.29724	19.232	18.472	16.964	15.4	12.896
P	13/05/2009	0.269338542	0.274947917	0.266682292	0.279885417	0.258125	16.2921875	16.13125	15.06979167	13.9828125	12.92864583
P	14/05/2009	0.236807292	0.255026042	0.261671875	0.2809375	0.260734375	14.80260417	14.696875	13.92447917	13.5765625	12.89739583
P	15/05/2009	0.249963542	0.269302083	0.270588542	0.286526042	0.264333333	14.65625	14.9296875	14.33854167	13.7546875	12.87916667
P	16/05/2009	0.250869792	0.267744792	0.268432292	0.29178125	0.272791667	13.14739583	13.47552083	13.02708333	13.10625	12.6734375
P	17/05/2009	0.232578125	0.249479167	0.257520833	0.282802083	0.266333333	10.346875	11.2015625	11.42395833	12.3015625	12.171875
P	18/05/2009	0.243098958	0.254322917	0.257895833	0.278479167	0.261302083	14.0359375	13.296875	11.94895833	11.56458333	11.49322917
P	19/05/2009	0.242489583	0.259791667	0.265515625	0.282755208	0.261854167	19.38489583	17.97916667	15.61145833	13.12395833	11.96979167
P	20/05/2009	0.234677083	0.258078125	0.269380208	0.288125	0.2653125	20.946875	19.97083333	17.88229167	15.07395833	13.26770833
P	21/05/2009	0.225015625	0.252895833	0.269088542	0.290208333	0.267494792	21.5125	20.64739583	18.73697917	16.14166667	14.29947917
P	22/05/2009	0.217036458	0.247135417	0.267265625	0.290223958	0.268567708	21.596875	20.76666667	18.99791667	16.73958333	15.00677083
P	23/05/2009	0.213677083	0.245270833	0.268447917	0.291192708	0.269395833	22.83854167	21.95729167	20.08125	17.51614583	15.628125
P	24/05/2009	0.205859375	0.240078125	0.267640625	0.292223958	0.270770833	22.68385417	22.09114583	20.51666667	18.21510417	16.3
P	25/05/2009	0.194598958	0.230270833	0.262463542	0.290630208	0.270822917	20.51666667	20.51302083	19.634375	18.23802083	16.64791667
P	26/05/2009	0.251390625	0.262151042	0.2775625	0.301046875	0.283848958	17.29635417	17.84270833	17.67864583	17.51614583	16.50833333
P	27/05/2009	0.287645833	0.297088542	0.290854167	0.313651042	0.301828125	16.20416667	16.546875	16.290625	16.50208333	16.07395833
P	28/05/2009	0.252567708	0.267270833	0.272729167	0.297494792	0.282302083	16.3203125	16.25885417	15.65885417	15.69114583	15.3890625
P	29/05/2009	0.243994792	0.26453125	0.272453125	0.295614583	0.277588542	19.39322917	18.67447917	17.21197917	15.92083333	15.17864583
P	30/05/2009	0.2356875	0.262109375	0.274083333	0.297510417	0.276854167	21.1734375	20.471875	18.8765625	16.94895833	15.6671875
P	31/05/2009	0.222385417	0.25403125	0.271036458	0.297140625	0.27690625	20.30416667	19.93020833	18.8046875	17.45104167	16.1875
P	1/6/2009	0.29484375	0.304010417	0.29575	0.311947917	0.289963542	20.39010417	20.21770833	19.23541667	17.90625	16.57083333
P	2/6/2009	0.289151042	0.295020833	0.288802083	0.307703125	0.288583333	18.7203125	18.8203125	18.23697917	17.6703125	16.68072917
P	3/6/2009	0.261161458	0.275984375	0.280526042	0.303520833	0.285291667	18.90364583	18.66041667	17.78489583	17.13541667	16.390625
P	4/6/2009	0.251385417	0.271817708	0.279052083	0.301671875	0.281885417	21.21666667	20.37291667	18.83177083	17.3546875	16.35885417
P	5/6/2009	0.244802083	0.269671875	0.27996875	0.303010417	0.281697917	22.88645833	22.003125	20.29479167	18.26145833	16.8421875
P	6/6/2009	0.272723958	0.2884375	0.290270833	0.311703125	0.289567708	19.23333333	19.64739583	19.35572917	18.75052083	17.434375
P	7/6/2009	0.284692708	0.293088542	0.289994792	0.310125	0.29046875	21.4265625	20.85	19.52447917	18.20572917	17.20260417
P	8/6/2009	0.294369792	0.305177083	0.298005208	0.317901042	0.298166667	19.1390625	19.45833333	19.08958333	18.57864583	17.5015625
