ApsimVersion = 7.4
Title	Date	sw_5	sw_10	sw_15	sw_35	sw_75	st_5	st_10	st_15	st_35	st_75	sw_5Error	sw_10Error	sw_15Error	sw_35Error	sw_75Error	st_5Error	st_10Error	st_15Error	st_35Error	st_75Error
()	(dd/mm/yyyy)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)
P	20/08/2008	0.187167188	0.232569271	0.244863021	0.307263021	0.277939063	24.9578125	24.521875	24.14322917	23.15208333	22.21510417	0.00725493	0.032882379	0.02946175	0.043686281	0.050970865	0.618445009	0.431842136	0.469105093	0.366205716	0.319635407
P	21/08/2008	0.177209896	0.224739063	0.238818229	0.305481771	0.277711979	22.78072917	23.096875	23.41510417	23.12708333	22.32864583	0.006192076	0.031663739	0.029129512	0.043571296	0.05091609	0.410616117	0.329553768	0.453574071	0.381861418	0.331793726
P	22/08/2008	0.181190104	0.225921354	0.237003125	0.301851042	0.275917188	24.7375	23.9609375	23.30364583	22.54739583	21.9859375	0.005821617	0.032098037	0.02857315	0.042658238	0.050541162	0.441190617	0.248860794	0.294550936	0.331163047	0.317518016
P	23/08/2008	0.179067188	0.22545	0.237420833	0.300940104	0.274953125	25.57864583	25.06979167	24.46770833	23.20677083	22.20885417	0.004873716	0.033359408	0.029719862	0.043138082	0.050114932	0.60459837	0.334380408	0.353795251	0.290105413	0.303787548
P	24/08/2008	0.169523438	0.216516146	0.230176563	0.296417188	0.273542188	23.77604167	23.60416667	23.478125	23.0125	22.28333333	0.004450007	0.032402871	0.029799227	0.043420594	0.049958053	0.570450817	0.350540051	0.425240349	0.35577962	0.319487844
P	25/08/2008	0.163065625	0.210579167	0.223883333	0.290927083	0.270648438	23.15208333	22.96927083	22.85208333	22.57864583	22.025	0.004532289	0.032008004	0.029945492	0.043030089	0.049531213	0.57949943	0.377379004	0.461061954	0.403438791	0.343327813
P	26/08/2008	0.157583854	0.205993229	0.219298958	0.286013542	0.267756771	22.72864583	22.61354167	22.54270833	22.31614583	21.79427083	0.005249674	0.031725987	0.030150266	0.042723906	0.04895478	0.529438206	0.369838612	0.467179081	0.428841549	0.362186941
P	27/08/2008	0.152194792	0.200047396	0.214479688	0.282004167	0.265763542	21.12291667	21.3875	21.728125	21.9671875	21.57395833	0.007704307	0.030375443	0.029702062	0.042329009	0.048636285	0.380156484	0.29702786	0.438177798	0.43949477	0.365625989
P	28/08/2008	0.228159375	0.243456771	0.236019792	0.284610938	0.264028646	23.4	22.86770833	22.42135417	21.79635417	21.30208333	0.008446686	0.027172961	0.027203864	0.042315188	0.048345476	0.363799753	0.190672429	0.273907995	0.355027931	0.34324247
P	29/08/2008	0.213584896	0.239745833	0.235011979	0.282657292	0.263013021	22.071875	21.98385417	22.08385417	21.90833333	21.39583333	0.005540811	0.027474701	0.026824394	0.042010192	0.047839592	0.392391377	0.227691551	0.309361994	0.315744729	0.310974285
P	30/08/2008	0.198009896	0.231180729	0.230053125	0.279920833	0.261250521	22.47291667	22.1296875	22.00364583	21.69166667	21.22916667	0.006269445	0.02989037	0.027706028	0.041416927	0.047303051	0.479458697	0.287393518	0.341612012	0.33229983	0.304153586
P	31/08/2008	0.186591146	0.223561458	0.226145313	0.278272917	0.259775	22.7984375	22.43333333	22.24270833	21.74583333	21.19270833	0.006117665	0.031940757	0.028789691	0.041247317	0.046678078	0.478482585	0.293058435	0.350840694	0.334445843	0.297475027
P	1/9/2008	0.180273958	0.218775521	0.223132813	0.276576042	0.258230208	23.90104167	23.2453125	22.75208333	21.91927083	21.25	0.005364906	0.033761201	0.029996243	0.041413917	0.046225879	0.441143476	0.265203744	0.324289198	0.322410417	0.290990039
P	2/9/2008	0.17464375	0.215608854	0.222028646	0.276092188	0.257650521	24.39114583	24.0109375	23.625	22.52708333	21.57135417	0.004411584	0.034488774	0.030998364	0.042099948	0.046023314	0.387899636	0.23241289	0.286290986	0.27705592	0.27672462
P	3/9/2008	0.161154167	0.204242188	0.213267188	0.271747917	0.256310938	20.94270833	21.2671875	21.803125	22.07708333	21.59583333	0.004048852	0.03256878	0.030719577	0.041898004	0.045922586	0.348243463	0.222780941	0.358091508	0.331685379	0.275302338
P	4/9/2008	0.154708854	0.198596354	0.207357292	0.266088021	0.25296875	19.36927083	19.79427083	20.43645833	21.09895833	20.98333333	0.004502806	0.031479609	0.030272679	0.041024278	0.045567038	0.278283448	0.156035443	0.360681001	0.367397374	0.301449287
P	5/9/2008	0.162215625	0.194194271	0.202720313	0.261163542	0.249598438	17.73125	18.1828125	18.96041667	20.05625	20.25989583	0.008482169	0.030594892	0.029654278	0.040155196	0.045036806	0.287347735	0.165099785	0.392878224	0.403774509	0.326468343
P	6/9/2008	0.191126042	0.199847396	0.203903646	0.258269271	0.246740625	17.83802083	18.0203125	18.52864583	19.36822917	19.59166667	0.014611786	0.029754875	0.028678587	0.039473954	0.044717914	0.278291246	0.141983854	0.348454108	0.400200123	0.338316699
P	7/9/2008	0.185889063	0.202001563	0.2040375	0.256621875	0.244869792	18.18333333	18.18958333	18.490625	19.046875	19.1890625	0.009858144	0.029383497	0.02824762	0.038714751	0.044310288	0.28965202	0.147085399	0.325723132	0.377289021	0.332689673
P	8/9/2008	0.186968056	0.173406944	0.178004861	0.221808333	0.210724306	16.33680556	16.9375	17.71736111	18.57291667	18.90763889	0.011065398	0.018223643	0.019171949	0.025244392	0.041154713	0.266282094	0.055525165	0.353995738	0.329910815	0.448319156
P	9/9/2008	0.19516875	0.175284722	0.176227083	0.218947917	0.208564583	15.90486111	16.04375	16.55	17.55277778	18.24097222	0.009078248	0.018844896	0.018851143	0.024773571	0.040887255	0.360543758	0.095976644	0.415024542	0.361605564	0.453574304
P	10/9/2008	0.184227083	0.176911806	0.177646528	0.218675	0.207145139	17.02986111	16.92916667	17.11666667	17.53888889	17.91527778	0.009190549	0.019730254	0.019074736	0.024730244	0.040917159	0.357226029	0.166001276	0.403878405	0.357990658	0.461639486
P	11/9/2008	0.2070125	0.205329167	0.2086375	0.23925	0.222332639	19.12638889	18.77083333	18.53541667	18.17083333	18.10208333	0.005045103	0.016668352	0.014702391	0.024370879	0.039645532	0.309509612	0.149405651	0.289755644	0.267827875	0.402487923
P	12/9/2008	0.274114583	0.285041667	0.293854167	0.295102083	0.255935417	19.59236111	19.53055556	19.48958333	18.97916667	18.65069444	0.003480543	0.019124712	0.02678563	0.024696049	0.035613213	0.259251095	0.208723015	0.31983747	0.195093164	0.35549655
P	13/09/2008	0.26709375	0.282380556	0.288793056	0.297107639	0.258438889	20.22708333	19.99722222	19.69236111	19.15694444	18.89236111	0.001418572	0.018984619	0.025175972	0.023905315	0.035571149	0.258184881	0.271857927	0.281749385	0.190729644	0.349440139
P	14/09/2008	0.243381944	0.263470833	0.268959722	0.289530556	0.250175694	17.60972222	18.23402778	18.76597222	19.09930556	19.02916667	0.001811093	0.020569124	0.022022956	0.023650277	0.035397753	0.234379887	0.085020536	0.241625755	0.18334254	0.330856685
P	15/09/2008	0.227994444	0.252123611	0.258294444	0.282754167	0.244521528	16.48263889	16.825	17.28333333	18.05972222	18.47777778	0.002804774	0.019929118	0.020040262	0.02282609	0.035134102	0.303128778	0.164662428	0.142567601	0.184914009	0.343495978
P	16/09/2008	0.214672222	0.2420625	0.251422222	0.278163889	0.2403	17.1	16.97847222	17.11111111	17.61111111	17.99444444	0.003265192	0.018996638	0.018999366	0.022440347	0.034711492	0.163392315	0.151694391	0.111779673	0.170495658	0.34168431
P	17/09/2008	0.203223611	0.234454167	0.247821528	0.276072917	0.238019444	18.64930556	18.26805556	18.04722222	17.88680556	17.95	0.003318256	0.01879564	0.018446649	0.022458006	0.034697458	0.169448714	0.155866814	0.125866978	0.157551677	0.337996891
P	18/09/2008	0.193718056	0.225885417	0.243636806	0.275221528	0.237048611	19.38263889	19.04652778	18.825	18.44652778	18.24861111	0.00431752	0.018684753	0.017927463	0.022670812	0.034879624	0.185488178	0.171147802	0.122303082	0.151465322	0.316402332
P	19/09/2008	0.184888194	0.216063889	0.236875	0.273538194	0.236028472	19.46111111	19.20555556	19.0375	18.72013889	18.50833333	0.004853141	0.018364864	0.016653121	0.022708942	0.035183856	0.198045767	0.167110232	0.1637947	0.154440135	0.308342718
P	20/09/2008	0.177469444	0.206758333	0.229890278	0.271118056	0.234576389	19.18402778	18.97708333	18.90694444	18.75138889	18.61111111	0.0052316	0.018020215	0.015395731	0.022718937	0.03544931	0.197167197	0.179311957	0.190900239	0.161447506	0.311733628
P	21/09/2008	0.1726625	0.199761806	0.223711806	0.268752778	0.23320625	19.06597222	18.89375	18.83888889	18.73819444	18.62569444	0.005809583	0.017692856	0.014628831	0.022719998	0.035767998	0.2287317	0.182799887	0.222804143	0.177305144	0.315898954
P	22/09/2008	0.170213194	0.195636806	0.219219444	0.267395139	0.232201389	18.70416667	18.67361111	18.74722222	18.74097222	18.64027778	0.006009954	0.016912396	0.013528401	0.022976961	0.036126028	0.248773031	0.147246788	0.242438701	0.191191793	0.311677931
P	23/09/2008	0.184679861	0.205552778	0.226484028	0.2715875	0.23490625	20	19.48402778	19.15625	18.78888889	18.62569444	0.003615825	0.012523185	0.013240797	0.022987939	0.035959905	0.255497993	0.135177852	0.118664687	0.161115601	0.317506957
P	24/09/2008	0.252104167	0.263950694	0.275372222	0.290065278	0.245795139	19.6375	19.41180556	19.32013889	19.09861111	18.86111111	0.009061738	0.013543735	0.024992215	0.022431552	0.032671868	0.196346108	0.124450955	0.123611111	0.153476936	0.305470316
P	25/09/2008	0.236034028	0.252190278	0.262583333	0.284236111	0.242182639	18.91875	18.75277778	18.81527778	18.90625	18.8375	0.005454607	0.013388839	0.021391127	0.022265607	0.033560363	0.152111869	0.165325915	0.116159197	0.161459453	0.310122904
P	26/09/2008	0.224327083	0.245179167	0.256495139	0.280838889	0.239690278	19.72847222	19.41388889	19.25763889	18.99930556	18.82013889	0.004309707	0.013574717	0.020169042	0.02235893	0.03392176	0.131224277	0.219698122	0.075272781	0.139216627	0.304219776
P	27/09/2008	0.209629167	0.23566875	0.250120139	0.278261111	0.238215278	19.42986111	19.24027778	19.21875	19.10902778	18.92291667	0.003510161	0.013334314	0.019169831	0.022412191	0.034210896	0.062388017	0.240479403	0.060715258	0.123909207	0.288404375
P	28/09/2008	0.197715278	0.226335417	0.243905556	0.275759722	0.236893056	17.9	18.11666667	18.50763889	18.90555556	18.8875	0.003136363	0.013053965	0.018517103	0.022485978	0.034538379	0.104610167	0.186482579	0.099247263	0.127250194	0.283902105
P	29/09/2008	0.238150694	0.248522917	0.250803472	0.273911111	0.235122917	17.47083333	17.59444444	17.91666667	18.38194444	18.54652778	0.009608214	0.012212323	0.022244006	0.022480578	0.034635927	0.130342986	0.240229603	0.08651061	0.145318204	0.301091123
P	30/09/2008	0.223013194	0.2382125	0.245099306	0.271217361	0.233665278	14.95451389	15.46631944	16.31006944	17.57708333	18.09201389	0.007910697	0.012372514	0.020645056	0.022102894	0.034476253	0.259849614	0.340612966	0.095924499	0.152126136	0.321451837
P	1/10/2008	0.223163542	0.255939583	0.259769271	0.299772396	0.270419792	14.5703125	15.06145833	15.78177083	17.01927083	17.41927083	0.01354782	0.026164702	0.023990411	0.035237109	0.045891169	0.121470349	0.260164461	0.202101902	0.29407903	0.240675913
