ApsimVersion = 7.6
Title = PFnew soilco2
           Date  soil_root_co2
   (dd/mm/yyyy)             ()
     22/01/2009          0.060
     23/01/2009          0.061
     24/01/2009          0.062
     25/01/2009          0.064
     26/01/2009          0.062
     27/01/2009          0.058
     28/01/2009          0.054
     29/01/2009          0.051
     30/01/2009          0.048
     31/01/2009          0.046
     01/02/2009          0.044
     02/02/2009          0.044
     03/02/2009          0.045
     04/02/2009          0.046
     05/02/2009          0.046
     06/02/2009          0.044
     07/02/2009          0.078
     08/02/2009          0.173
     09/02/2009          0.045
     10/02/2009          0.544
     11/02/2009          1.986
     12/02/2009          0.326
     13/02/2009          0.319
     14/02/2009          0.171
     15/02/2009          0.143
     16/02/2009          0.132
     17/02/2009          0.124
     18/02/2009          0.131
     19/02/2009          0.135
     20/02/2009          0.125
     21/02/2009          0.115
     22/02/2009          0.110
     23/02/2009          0.103
     24/02/2009          0.095
     25/02/2009          0.163
     26/02/2009          0.371
     27/02/2009          0.144
     28/02/2009          0.126
     01/03/2009          0.116
     02/03/2009          0.108
     03/03/2009          0.099
     04/03/2009          0.094
     05/03/2009          0.181
     06/03/2009          2.532
     07/03/2009          1.739
     08/03/2009          0.474
     09/03/2009          0.402
     10/03/2009          0.379
     11/03/2009          0.227
     12/03/2009          0.191
     13/03/2009          0.166
     14/03/2009          0.152
     15/03/2009          0.347
     16/03/2009          0.890
     17/03/2009          3.009
     18/03/2009          2.896
     19/03/2009          2.007
     20/03/2009          1.112
     21/03/2009          1.249
     22/03/2009          3.001
     23/03/2009          3.546
     24/03/2009          5.726
     25/03/2009          2.997
     26/03/2009          2.307
     27/03/2009          1.703
     28/03/2009          1.230
     29/03/2009          0.959
     30/03/2009          1.089
     31/03/2009          2.393
     01/04/2009          1.634
     02/04/2009          1.345
     03/04/2009          1.205
     04/04/2009          1.251
     05/04/2009          3.490
     06/04/2009          1.620
     07/04/2009          1.305
     08/04/2009          1.113
     09/04/2009          1.373
     10/04/2009          1.361
     11/04/2009          2.248
     12/04/2009          2.793
     13/04/2009          2.616
     14/04/2009          2.214
     15/04/2009          3.339
     16/04/2009          3.931
     17/04/2009          5.266
     18/04/2009          5.713
     19/04/2009          6.843
     20/04/2009          4.620
     21/04/2009          3.669
     22/04/2009          4.357
     23/04/2009          5.905
     24/04/2009          7.773
     25/04/2009          8.830
     26/04/2009          9.276
     27/04/2009          9.637
     28/04/2009          6.247
     29/04/2009          6.002
     30/04/2009          6.896
     01/05/2009          8.422
     02/05/2009          8.139
     03/05/2009          8.920
     04/05/2009         10.806
     05/05/2009         12.295
     06/05/2009         14.597
     07/05/2009         14.379
     08/05/2009         14.781
     09/05/2009         14.617
     10/05/2009         12.070
     11/05/2009         11.540
     12/05/2009         12.328
     13/05/2009         17.016
     14/05/2009         17.810
     15/05/2009         13.698
     16/05/2009         14.610
     17/05/2009         11.054
     18/05/2009         10.884
     19/05/2009         20.718
     20/05/2009         25.628
     21/05/2009         26.199
     22/05/2009         25.020
     23/05/2009         24.495
     24/05/2009         29.260
     25/05/2009         27.870
     26/05/2009         24.436
     27/05/2009         22.741
     28/05/2009         18.319
     29/05/2009         21.293
     30/05/2009         23.993
     31/05/2009         25.008
     01/06/2009         24.374
     02/06/2009         27.534
     03/06/2009         25.635
     04/06/2009         23.310
     05/06/2009         25.205
     06/06/2009         26.761
     07/06/2009         27.929
     08/06/2009         27.461
     09/06/2009         24.886
     10/06/2009         22.214
     11/06/2009         25.964
     12/06/2009         27.672
     13/06/2009         28.296
     14/06/2009         27.915
     15/06/2009         27.131
     16/06/2009         29.052
     17/06/2009         29.907
     18/06/2009         30.873
     19/06/2009         34.732
     20/06/2009         33.420
     21/06/2009         33.639
     22/06/2009         36.211
     23/06/2009         37.814
     24/06/2009         38.763
     25/06/2009         36.041
     26/06/2009         38.617
     27/06/2009         38.186
     28/06/2009         38.222
     29/06/2009         35.668
     30/06/2009         34.408
     01/07/2009         32.220
     02/07/2009         31.966
     03/07/2009         32.141
     04/07/2009         32.172
     05/07/2009         32.183
     06/07/2009         42.326
     07/07/2009         34.449
     08/07/2009         35.606
     09/07/2009         34.501
     10/07/2009         33.890
     11/07/2009         35.767
     12/07/2009         35.701
     13/07/2009         34.827
     14/07/2009         35.190
     15/07/2009         37.558
     16/07/2009         36.409
     17/07/2009         31.922
     18/07/2009         28.281
     19/07/2009         30.785
     20/07/2009         29.981
     21/07/2009         29.923
     22/07/2009         32.000
     23/07/2009         31.152
     24/07/2009         31.059
     25/07/2009         30.659
     26/07/2009         29.450
     27/07/2009         29.151
     28/07/2009         29.510
     29/07/2009         28.855
     30/07/2009         26.959
     31/07/2009         27.299
     01/08/2009         26.634
     02/08/2009         24.928
     03/08/2009         26.467
     04/08/2009         29.212
     05/08/2009         26.711
     06/08/2009         24.828
     07/08/2009         25.032
     08/08/2009         28.884
     09/08/2009         28.948
     10/08/2009         28.746
     11/08/2009         28.028
     12/08/2009         27.772
     13/08/2009         28.122
     14/08/2009         27.063
     15/08/2009         25.417
     16/08/2009         23.712
     17/08/2009         23.414
     18/08/2009         21.958
     19/08/2009         20.823
     20/08/2009         23.623
     21/08/2009         20.875
     22/08/2009         17.206
     23/08/2009         15.331
     24/08/2009         19.081
     25/08/2009         19.708
     26/08/2009         24.509
     27/08/2009          8.147
     28/08/2009         30.214
     29/08/2009         31.829
     30/08/2009         20.571
     31/08/2009         18.232
     01/09/2009         19.018
     02/09/2009         17.477
     03/09/2009         17.310
     04/09/2009         16.939
     05/09/2009         17.587
     06/09/2009         18.721
     07/09/2009         17.924
     08/09/2009         18.652
     09/09/2009         19.253
     10/09/2009         18.617
     11/09/2009         18.267
     12/09/2009         19.274
     13/09/2009         18.921
     14/09/2009         17.731
     15/09/2009         17.377
     16/09/2009         17.395
     17/09/2009         17.890
     18/09/2009         16.633
     19/09/2009         16.923
     20/09/2009         16.709
     21/09/2009         17.755
     22/09/2009         17.613
     23/09/2009         21.912
     24/09/2009         15.862
     25/09/2009         23.409
     26/09/2009         19.024
     27/09/2009         18.535
     28/09/2009         19.646
     29/09/2009         13.053
     30/09/2009         11.635
     01/10/2009         10.886
     02/10/2009          2.984
     03/10/2009         13.374
     04/10/2009          8.844
     05/10/2009          8.968
     06/10/2009         10.453
     07/10/2009         13.782
     08/10/2009          9.317
     09/10/2009          9.371
     10/10/2009          9.330
     11/10/2009          3.199
     12/10/2009          1.101
     13/10/2009          0.854
     14/10/2009          1.590
     15/10/2009          1.247
     16/10/2009          2.874
     17/10/2009          3.398
     18/10/2009          2.804
     19/10/2009          1.967
     20/10/2009          3.867
     21/10/2009          3.357
     22/10/2009          3.967
     23/10/2009          9.454
     24/10/2009          5.949
     25/10/2009          4.288
     26/10/2009          5.567
     27/10/2009          7.325
     28/10/2009          6.178
     29/10/2009          5.697
     30/10/2009          7.420
     31/10/2009          9.715
     01/11/2009          8.269
     02/11/2009          6.972
     03/11/2009          8.110
     04/11/2009          7.921
     05/11/2009          5.410
     06/11/2009          6.201
     07/11/2009          5.781
     08/11/2009          7.022
     09/11/2009          7.873
     10/11/2009          8.193
     11/11/2009          7.936
     12/11/2009          7.428
     13/11/2009          6.593
     14/11/2009          6.933
     15/11/2009          7.358
     16/11/2009          6.774
     17/11/2009          5.363
     18/11/2009          5.917
     19/11/2009          5.690
     20/11/2009          5.362
     21/11/2009          4.921
     22/11/2009          4.817
     23/11/2009          4.247
     24/11/2009          5.724
     25/11/2009          6.310
     26/11/2009          7.346
     27/11/2009          4.669
     28/11/2009          3.612
     29/11/2009          3.423
     30/11/2009          4.224
