ApsimVersion = 7.6
Title = Pnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     30/09/2008         6348.7         3489.2          815.8
     01/10/2008          856.6         3478.6          818.2
     02/10/2008          898.9         3467.2          738.8
     03/10/2008          911.3         3452.7          741.5
     04/10/2008          926.7         3439.0          732.2
     05/10/2008          933.7         3414.7          726.4
     06/10/2008          939.6         3389.3          706.2
     07/10/2008          949.6         3377.3          691.2
     08/10/2008          951.6         3362.9          672.8
     09/10/2008          957.2         3348.2          655.1
     10/10/2008          969.0         3330.2          633.9
     11/10/2008          975.9         3307.9          607.8
     12/10/2008          979.2         3283.2          580.9
     13/10/2008          988.3         3269.7          565.2
     14/10/2008         1000.6         3264.6          560.2
     15/10/2008         1014.8         3258.6          554.2
     16/10/2008         1018.5         3254.2          549.7
     17/10/2008         1030.0         3250.2          545.4
     18/10/2008         1043.3         3245.6          540.9
     19/10/2008         1044.0         3230.2          524.1
     20/10/2008         1061.2         3222.9          518.2
     21/10/2008         1063.0         3222.9          516.1
     22/10/2008         1068.7         3218.8          511.7
     23/10/2008         1074.8         3216.0          508.3
     24/10/2008         1079.9         3216.0          505.9
     25/10/2008         1078.2         3208.7          498.6
     26/10/2008         1082.3         3207.5          496.2
     27/10/2008         1082.3         3207.5          496.1
     28/10/2008         1082.3         3207.5          495.6
     29/10/2008         1080.9         3201.8          490.5
     30/10/2008         1079.6         3190.9          481.1
     31/10/2008         1085.9         3174.9          466.7
     01/11/2008         1100.8         3163.8          459.1
     02/11/2008         1106.4         3145.6          444.7
     03/11/2008         1108.1         3126.1          430.7
     04/11/2008         1105.7         3106.6          418.0
     05/11/2008         1104.7         3090.7          401.9
     06/11/2008         1111.3         3086.5          399.0
     07/11/2008         1111.3         3086.5          398.8
     08/11/2008         1111.3         3086.5          398.8
     09/11/2008         1111.3         3086.5          398.8
     10/11/2008         1111.6         3086.5          397.7
     11/11/2008         1111.6         3086.5          397.3
     12/11/2008         1112.1         3086.5          396.0
     13/11/2008         1110.5         3083.6          393.7
     14/11/2008         1110.9         3083.6          392.6
     15/11/2008         1110.9         3083.6          392.6
     16/11/2008         1110.9         3083.6          392.6
     17/11/2008         1110.9         3083.6          392.6
     18/11/2008         1110.9         3083.6          392.6
     19/11/2008         1110.9         3083.6          392.3
     20/11/2008         1110.9         3083.6          392.3
     21/11/2008         1110.9         3083.6          392.3
     22/11/2008         1110.9         3083.6          392.3
     23/11/2008         1110.9         3083.6          392.3
     24/11/2008         1110.9         3083.6          392.1
     25/11/2008         1110.9         3083.6          392.1
     26/11/2008         1110.9         3083.6          392.0
     27/11/2008         1110.9         3083.6          392.0
     28/11/2008         1110.9         3083.6          391.8
     29/11/2008         1110.9         3083.6          391.8
     30/11/2008         1110.9         3083.6          391.8
     01/12/2008         1110.9         3083.6          391.8
     02/12/2008         1110.9         3083.6          391.8
     03/12/2008         1110.9         3083.6          391.8
     04/12/2008         1110.9         3083.6          391.8
     05/12/2008         1110.9         3083.6          391.8
     06/12/2008         1110.9         3083.6          391.8
     07/12/2008         1110.9         3083.6          391.8
     08/12/2008         1110.9         3083.6          391.8
     09/12/2008         1110.9         3083.6          391.8
     10/12/2008         1110.9         3083.6          391.8
     11/12/2008         1110.9         3083.6          391.8
     12/12/2008         1110.9         3083.6          391.8
     13/12/2008         1110.9         3083.6          390.9
     14/12/2008         1110.9         3083.6          390.9
     15/12/2008         1110.9         3083.6          390.9
     16/12/2008         1110.9         3083.6          390.9
     17/12/2008         1110.9         3083.6          390.9
     18/12/2008         1110.9         3083.6          390.9
     19/12/2008         1110.9         3083.6          390.9
     20/12/2008         1110.9         3083.6          390.9
     21/12/2008         1110.9         3083.6          390.9
     22/12/2008         1110.9         3083.6          390.9
     23/12/2008         1110.9         3083.6          390.9
     24/12/2008         1110.9         3083.6          390.9
     25/12/2008         1110.9         3083.6          390.9
     26/12/2008         1110.9         3083.6          389.3
     27/12/2008         1110.9         3083.6          389.3
     28/12/2008         1110.9         3083.6          389.3
     29/12/2008         1110.9         3083.6          389.3
     30/12/2008         1110.9         3083.6          389.3
     31/12/2008         1110.9         3083.6          389.3
     01/01/2009         1110.9         3083.6          389.3
     02/01/2009         1110.9         3083.6          389.3
     03/01/2009         1110.9         3083.6          389.3
     04/01/2009         1110.9         3083.6          389.3
     05/01/2009         1110.9         3083.6          389.3
     06/01/2009         1110.9         3083.6          389.3
     07/01/2009         1110.9         3083.6          389.3
     08/01/2009         1110.9         3083.6          389.3
     09/01/2009         1110.9         3083.6          389.3
     10/01/2009         1110.9         3083.6          389.3
     11/01/2009         1110.9         3083.6          389.3
     12/01/2009         1110.9         3083.6          389.3
     13/01/2009         1110.9         3083.6          389.3
     14/01/2009         1110.9         3083.6          389.3
