ApsimVersion = 7.6
Title = Pnew
           Date  AboveGroundWt  BelowGroundWt AboveGroundNPct   BelowGroundN SpeciesLiveWt(1) SpeciesLiveWt(2) SpeciesLiveWt(3) SpeciesTotalWt(1) SpeciesTotalWt(2) SpeciesTotalWt(3)      HarvestWt AboveGroundLiveN AboveGroundDeadN     watertable        OC_20cm        OC_90cm       OC_180cm      n2o_atm() nitrification()         dnit()    MaySeptNDep   MaySeptTiles    MaySeptRain  MaySeptrunoff     MaySepEvap    MaySepTrans  MaySepNnetMin    MaySepDenit MaySeptTilesNO3 MaySepResImmob  MaySepNuptake       biom_c()    surfaceom_c        fom_c()        hum_c()   surfaceom_wt AboveGroundDeadWt     Cover_dead        C_remob     LeafDeadWt LitterDepositionWt RootSenescenceWt             wf    surfaceom_n surfaceom_cover surface_CN_ratio          no3()          nh4() tf_surface_om1             es    WaterUptake            eos    Cover_green dlt_n_min_tot()    dlt_n_min() dlt_n_min_res()    PlantFixedN NitrogenDemand NitrogenSupply NitrogenUptake PlantRemobilisedN            lai      LAI_green       LAI_dead dlt_fom_c_atm() dlt_fom_c_biom() dlt_fom_c_hum() dlt_fom_c_pool1() dlt_fom_c_pool2() dlt_fom_c_pool3() dlt_fom_n_min() dlt_res_c_biom() dlt_res_c_hum() DefoliatedDigestibility       HarvestN HerbageDigestibility RootSenescenceN       roots_cn   Remaining_Wt    Surface_sot        fom_n()      nit_tot()        sot_cnr       sot_cnrf       roots_N%         oc_5cm        oc_15cm        oc_30cm        oc_60cm       oc_100cm        IntRadn       soil_co2       root_co2  soil_root_co2           sw_5          sw_10          sw_15          sw_35          sw_75           st_5          st_10          st_15          st_35          st_75 subsurface_drain       GLFwater        GLFtemp           GLFn         ToRoot       ToRootDM        sotiris         fom_cn           year subsurface_drain_no3    N_conc_mgLN    WaterUptake
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)             (%)        (kg/ha)          (kg/ha)          (kg/ha)          (kg/ha)           (kg/ha)           (kg/ha)           (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)           (mm)             ()             ()             ()        (kg/ha)         (kg/ha)        (kg/ha)             ()           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (kg/ha)            (%)        (kg/ha)        (kg/ha)            (kg/ha)          (kg/ha)          (0-1)        (kg/ha)       (m^2/m^2)               ()        (kg/ha)        (kg/ha)             ()           (mm)           (mm)           (mm)            (%)         (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (kg/ha)             ()             ()             ()         (kg/ha)          (kg/ha)         (kg/ha)           (kg/ha)           (kg/ha)           (kg/ha)         (kg/ha)          (kg/ha)         (kg/ha)                   (0-1)        (kg/ha)                (0-1)         (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)             ()             ()             ()             ()             ()             ()             ()             ()           (MJ)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)          (0-1)          (0-1)          (0-1)          (0-1)        (kg/ha)             ()             ()         (year)              (kg/ha)             ()           (mm)
     15/05/2008          181.1          121.5           2.349            1.6             63.7             57.0             56.0              65.1              58.4              57.6            0.0              4.2              0.0       2800.000              ?              ?              ?            0.0             0.9            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3558.9           74.3          245.9       265672.4          185.7               4.3          0.003            0.0            2.8                0.8              0.6          0.202            3.5           0.039           21.136           49.5            5.4          0.521          0.723          0.600          3.761          0.148             0.9            0.9            -0.0            0.0            0.2           54.1            0.2               0.0              ?          0.345          0.006             2.9              1.7             0.2               1.9               2.8               0.1            -0.0              0.3             0.0                   0.000            0.0                0.920             0.0         30.577              ?              ?           11.2        24663.0          0.010          0.677          1.308          2.979          2.464          1.705          1.258          0.556          3.329         10.454          0.488         10.943          0.173          0.248          0.267          0.290          0.288         17.661         17.046         16.690         16.391         16.162            0.000          1.000          0.861          1.000          0.370            3.3        688.090         21.951           2008                  0.0              ?          0.600
     16/05/2008          186.4          124.5           2.351            1.6             66.1             58.5             57.3              67.6              59.9              58.9            0.0              4.4              0.0       2800.000              ?              ?              ?            0.0             1.0            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3555.9           74.6          240.9       265668.3          186.5               4.5          0.003            0.0            2.9                0.8              0.7          0.000            3.5           0.040           21.208           50.3            5.4          0.651          0.508          0.761          4.146          0.152             1.0            1.0             0.0            0.0            0.2           54.9            0.2               0.0              ?          0.354          0.006             3.1              1.9             0.2               2.0               3.1               0.1            -0.0              0.0             0.0                   0.000            0.0                0.920             0.0         30.464              ?              ?           11.0        24662.8          0.010          0.677          1.313          2.979          2.464          1.705          1.258          0.556          3.628         11.370          0.645         12.015          0.166          0.243          0.264          0.287          0.287         19.793         18.550         17.773         17.096         16.589            0.000          1.000          0.938          1.000          0.371            3.6        680.368         21.940           2008                  0.0              ?          0.761
     17/05/2008          192.1          127.4           2.351            1.7             68.7             59.9             58.6              70.3              61.5              60.4            0.0              4.5              0.0       2800.000              ?              ?              ?            0.0             1.3            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3552.2           75.0          235.4       265663.7          187.4               4.9          0.003            0.0            3.3                0.9              1.0          0.000            3.5           0.040           21.274           51.4            5.3          1.000          0.478          0.846          4.772          0.156             1.2            1.2             0.0            0.0            0.2           55.8            0.2               0.0              ?          0.363          0.007             3.5              2.1             0.2               2.1               3.6               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         30.347              ?              ?           10.7        24662.6          0.010          0.677          1.318          2.979          2.464          1.705          1.258          0.556          3.958         12.246          0.752         12.998          0.163          0.237          0.260          0.284          0.286         21.702         20.187         19.143         18.157         17.367            0.000          1.000          0.981          1.000          0.372            3.9        672.017         21.926           2008                  0.0              ?          0.846
     18/05/2008          198.6          131.2           2.356            1.7             71.7             61.8             60.3              73.3              63.3              62.1            0.0              4.7              0.0       2800.000              ?              ?              ?            0.0             1.2            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3548.5           75.3          229.9       265658.8          188.3               4.8          0.003            0.0            3.3                0.9              0.6          0.000            3.5           0.040           21.341           52.4            5.2          0.529          0.436          0.577          4.052          0.161             1.2            1.2             0.0            0.0            0.2           56.7            0.2               0.0              ?          0.375          0.007             3.5              2.1             0.2               2.0               3.7               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         30.231              ?              ?           10.5        24662.4          0.010          0.677          1.323          2.978          2.464          1.705          1.258          0.556          3.953         14.254          0.942         15.196          0.159          0.232          0.257          0.282          0.285         24.651         22.400         20.902         19.506         18.387            0.000          1.000          0.830          1.000          0.373            4.4        662.470         21.906           2008                  0.0              ?          0.577
     19/05/2008          205.8          135.2           2.359            1.8             75.0             63.8             62.1              76.6              65.3              63.9            0.0              4.8              0.0       2800.000              ?              ?              ?            0.0             1.2            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3544.8           75.7          224.8       265653.7          189.2               4.9          0.003            0.0            3.4                0.9              0.8          0.000            3.5           0.041           21.415           53.3            5.1          0.696          1.183          0.757          4.446          0.166             1.2            1.2             0.0            0.0            0.3           57.7            0.3               0.0              ?          0.388          0.007             3.3              2.0             0.2               1.8               3.5               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         30.106              ?              ?           10.3        24662.2          0.009          0.677          1.329          2.978          2.464          1.705          1.258          0.556          4.267         14.418          0.707         15.125          0.157          0.227          0.254          0.280          0.284         23.253         22.444         21.601         20.533         19.443            0.000          1.000          0.928          1.000          0.374            4.8        653.758         21.893           2008                  0.0              ?          0.757
     20/05/2008          211.6          138.7           2.363            1.9             77.8             65.5             63.6              79.3              66.9              65.4            0.0              5.0              0.0       2800.000              ?              ?              ?            0.0             1.1            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3541.3           76.1          220.0       265648.7          190.2               4.7          0.003            0.0            3.3                0.9              0.6          0.000            3.5           0.041           21.487           54.3            5.1          0.469          0.537          0.548          3.237          0.170             1.1            1.1             0.0            0.0            0.2           58.5            0.2               0.0              ?          0.399          0.007             3.0              1.8             0.2               1.6               3.4               0.1            -0.0              0.0             0.0                   0.000            0.0                0.920             0.0         29.980              ?              ?           10.1        24661.9          0.009          0.677          1.334          2.978          2.463          1.705          1.258          0.556          3.455         14.126          0.852         14.978          0.158          0.222          0.251          0.278          0.282         23.074         22.085         21.308         20.456         19.616            0.000          1.000          0.804          1.000          0.375            4.1        646.182         21.876           2008                  0.0              ?          0.548
     21/05/2008          219.7          143.4           2.368            1.9             81.6             67.8             65.7              83.1              69.2              67.4            0.0              5.2              0.0       2800.000              ?              ?              ?            0.0             1.1            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3537.8           76.4          215.5       265643.7          191.1               4.6          0.003            0.0            3.2                0.9              0.6          0.000            3.5           0.041           21.560           55.1            5.0          0.477          0.441          0.813          3.865          0.176             1.1            1.1             0.0            0.0            0.3           59.4            0.3               0.0              ?          0.414          0.006             2.9              1.7             0.2               1.4               3.2               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         29.882              ?              ?            9.9        24661.6          0.009          0.677          1.339          2.977          2.463          1.705          1.258          0.556          4.229         13.550          0.703         14.253          0.154          0.218          0.249          0.276          0.281         21.837         21.434         21.019         20.435         19.746            0.000          1.000          0.867          1.000          0.376            5.4        638.745         21.863           2008                  0.0              ?          0.813
     22/05/2008          228.6          148.7           2.372            2.0             85.8             70.3             68.0              87.2              71.7              69.7            0.0              5.4              0.0       2800.000              ?              ?              ?            0.0             1.1            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3534.1           76.8          211.1       265638.6          191.9               4.5          0.003            0.0            3.1                0.9              0.6          0.000            3.5           0.042           21.629           55.9            5.0          0.464          0.371          0.439          3.808          0.182             1.1            1.1             0.0            0.0            0.3           60.2            0.3               0.0              ?          0.430          0.006             2.8              1.7             0.2               1.3               3.2               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         29.760              ?              ?            9.7        24661.3          0.009          0.677          1.344          2.977          2.463          1.704          1.258          0.556          4.452         13.313          0.732         14.045          0.151          0.213          0.246          0.274          0.280         21.957         21.280         20.735         20.145         19.557            0.000          1.000          0.718          1.000          0.376            5.9        633.228         21.849           2008                  0.0              ?          0.439
     23/05/2008          237.1          153.8           2.377            2.1             89.8             72.7             70.3              91.2              74.0              71.9            0.0              5.6              0.0       2800.000              ?              ?              ?            0.0             1.2            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3531.4           74.1          206.7       265634.0          185.1               4.3          0.003            0.0            3.0                0.8              0.6          1.000            3.4           0.040           21.697           57.0            4.9          0.416          3.343          0.393          3.343          0.188             1.1            1.1            -0.0            0.0            0.3           61.1            0.3               0.0              ?          0.446          0.006             2.8              1.7             0.2               1.4               3.1               0.1            -0.0              1.1             0.1                   0.000            0.0                0.921             0.0         29.639              ?              ?            9.5        24661.4          0.009          0.677          1.350          2.977          2.463          1.704          1.258          0.556          4.159         13.356          0.747         14.104          0.148          0.209          0.245          0.272          0.279         22.118         21.421         20.889         20.278         19.648            0.000          0.993          0.673          1.000          0.379            5.7        628.565         21.835           2008                  0.0              ?          0.393
     24/05/2008          239.1          154.8           2.377            2.1             90.9             73.3             70.7              92.3              74.6              72.3            0.0              5.7              0.0       2800.000              ?              ?              ?            0.0             1.0            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3529.0           71.1          202.9       265630.0          177.9               4.3          0.003            0.0            3.0                0.8              0.7          0.981            3.2           0.039           21.794           57.8            5.0          0.468          1.408          0.310          1.408          0.189             1.0            1.0            -0.0            0.0            0.1           61.8            0.1               0.0              ?          0.450          0.006             2.5              1.5             0.2               1.2               2.8               0.1            -0.0              1.2             0.1                   0.000            0.0                0.919             0.0         29.530              ?              ?            9.3        24661.4          0.008          0.677          1.355          2.977          2.463          1.704          1.258          0.556          1.783         15.025          0.726         15.751          0.347          0.320          0.261          0.271          0.278         18.765         19.426         19.673         19.643         19.371            0.000          0.994          0.770          1.000          0.377            1.7        623.640         21.820           2008                  0.0              ?          0.310
