ApsimVersion = 7.6
Title = PFnew
           Date  AboveGroundWt  BelowGroundWt AboveGroundNPct   BelowGroundN SpeciesLiveWt(1) SpeciesLiveWt(2) SpeciesLiveWt(3) SpeciesTotalWt(1) SpeciesTotalWt(2) SpeciesTotalWt(3)      HarvestWt AboveGroundLiveN AboveGroundDeadN     watertable        OC_20cm        OC_90cm       OC_180cm      n2o_atm() nitrification()         dnit()    MaySeptNDep   MaySeptTiles    MaySeptRain  MaySeptrunoff     MaySepEvap    MaySepTrans  MaySepNnetMin    MaySepDenit MaySeptTilesNO3 MaySepResImmob  MaySepNuptake       biom_c()    surfaceom_c        fom_c()        hum_c()   surfaceom_wt AboveGroundDeadWt     Cover_dead        C_remob     LeafDeadWt LitterDepositionWt RootSenescenceWt             wf    surfaceom_n surfaceom_cover surface_CN_ratio          no3()          nh4() tf_surface_om1             es    WaterUptake            eos    Cover_green dlt_n_min_tot()    dlt_n_min() dlt_n_min_res()    PlantFixedN NitrogenDemand NitrogenSupply NitrogenUptake PlantRemobilisedN            lai      LAI_green       LAI_dead dlt_fom_c_atm() dlt_fom_c_biom() dlt_fom_c_hum() dlt_fom_c_pool1() dlt_fom_c_pool2() dlt_fom_c_pool3() dlt_fom_n_min() dlt_res_c_biom() dlt_res_c_hum() DefoliatedDigestibility       HarvestN HerbageDigestibility RootSenescenceN       roots_cn   Remaining_Wt    Surface_sot        fom_n()      nit_tot()        sot_cnr       sot_cnrf       roots_N%         oc_5cm        oc_15cm        oc_30cm        oc_60cm       oc_100cm        IntRadn       soil_co2       root_co2  soil_root_co2           sw_5          sw_10          sw_15          sw_35          sw_75           st_5          st_10          st_15          st_35          st_75 subsurface_drain       GLFwater        GLFtemp           GLFn         ToRoot       ToRootDM        sotiris         fom_cn           year subsurface_drain_no3    N_conc_mgLN
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)             (%)        (kg/ha)          (kg/ha)          (kg/ha)          (kg/ha)           (kg/ha)           (kg/ha)           (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)           (mm)             ()             ()             ()        (kg/ha)         (kg/ha)        (kg/ha)             ()           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (kg/ha)            (%)        (kg/ha)        (kg/ha)            (kg/ha)          (kg/ha)          (0-1)        (kg/ha)       (m^2/m^2)               ()        (kg/ha)        (kg/ha)             ()           (mm)           (mm)           (mm)            (%)         (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (kg/ha)             ()             ()             ()         (kg/ha)          (kg/ha)         (kg/ha)           (kg/ha)           (kg/ha)           (kg/ha)         (kg/ha)          (kg/ha)         (kg/ha)                   (0-1)        (kg/ha)                (0-1)         (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)             ()             ()             ()             ()             ()             ()             ()             ()           (MJ)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)          (0-1)          (0-1)          (0-1)          (0-1)        (kg/ha)             ()             ()         (year)              (kg/ha)             ()
     15/05/2008          192.6           86.7           2.366            1.1             66.8             61.0             60.3              68.2              62.5              61.9            0.0              4.5              0.0       2800.000              ?              ?              ?            0.0             0.9            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3558.9           74.3          245.4       265672.5          185.8               4.6          0.003            0.0            2.9                0.9              0.4          0.210            3.5           0.039           21.156           49.3            5.4          0.521          0.732          0.625          3.712          0.157             0.9            0.9            -0.0            0.0            0.2           53.9            0.2               0.0              ?          0.366          0.006             2.9              1.7             0.2               1.9               2.8               0.1            -0.0              0.3             0.0                   0.000            0.0                0.921             0.0         30.423              ?              ?           11.2        24662.8          0.010          0.677          1.315          2.979          2.464          1.705          1.258          0.556          3.472         10.422          0.343         10.765          0.173          0.248          0.267          0.290          0.288         17.596         16.997         16.652         16.365         16.145            0.000          1.000          0.861          1.000          0.288            3.0        652.481         21.971           2008                  0.0              ?
     16/05/2008          199.9           89.6           2.371            1.2             69.8             63.2             62.3              71.2              64.7              64.0            0.0              4.7              0.0       2800.000              ?              ?              ?            0.0             1.0            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3556.0           74.6          240.4       265668.4          186.6               4.6          0.003            0.0            3.0                0.9              0.5          0.005            3.5           0.040           21.232           50.0            5.4          0.651          0.512          0.795          4.083          0.162             1.0            1.0            -0.0            0.0            0.2           54.6            0.2               0.0              ?          0.379          0.006             3.1              1.9             0.2               2.0               3.1               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         30.293              ?              ?           11.0        24662.5          0.010          0.677          1.320          2.979          2.464          1.705          1.258          0.556          3.807         11.339          0.458         11.797          0.166          0.243          0.264          0.287          0.287         19.733         18.498         17.730         17.061         16.563            0.000          1.000          0.937          1.000          0.289            3.3        644.513         21.963           2008                  0.0              ?
     17/05/2008          208.0           92.6           2.373            1.2             73.0             65.5             64.4              74.6              67.1              66.3            0.0              4.9              0.0       2800.000              ?              ?              ?            0.0             1.2            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3552.2           75.0          234.8       265663.8          187.5               5.1          0.003            0.0            3.4                0.9              0.7          0.000            3.5           0.040           21.301           51.0            5.2          1.000          0.480          0.891          4.687          0.167             1.2            1.2             0.0            0.0            0.3           55.5            0.3               0.0              ?          0.393          0.007             3.5              2.1             0.2               2.1               3.6               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         30.158              ?              ?           10.7        24662.2          0.010          0.677          1.326          2.979          2.464          1.705          1.258          0.556          4.183         12.209          0.538         12.747          0.163          0.237          0.260          0.284          0.286         21.643         20.136         19.098         18.120         17.337            0.000          1.000          0.981          1.000          0.290            3.7        635.955         21.953           2008                  0.0              ?
     18/05/2008          217.1           96.3           2.380            1.3             76.8             68.3             67.1              78.4              69.8              68.9            0.0              5.1              0.0       2800.000              ?              ?              ?            0.0             1.2            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3548.5           75.4          229.3       265658.8          188.5               4.9          0.003            0.0            3.3                1.0              0.4          0.000            3.5           0.040           21.372           51.9            5.1          0.529          0.435          0.617          3.968          0.174             1.2            1.2             0.0            0.0            0.3           56.4            0.3               0.0              ?          0.410          0.007             3.4              2.1             0.2               2.0               3.6               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         30.022              ?              ?           10.5        24661.9          0.010          0.677          1.332          2.978          2.464          1.705          1.258          0.556          4.211         14.190          0.682         14.872          0.159          0.232          0.256          0.282          0.285         24.583         22.343         20.853         19.465         18.353            0.000          1.000          0.830          1.000          0.291            4.2        626.302         21.939           2008                  0.0              ?
     19/05/2008          227.4          100.4           2.385            1.3             81.1             71.3             70.0              82.7              72.9              71.9            0.0              5.4              0.0       2800.000              ?              ?              ?            0.0             1.2            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3544.9           75.8          224.1       265653.8          189.4               5.0          0.003            0.0            3.4                0.9              0.6          0.000            3.5           0.041           21.447           52.8            5.1          0.696          1.175          0.812          4.340          0.181             1.2            1.2             0.0            0.0            0.3           57.2            0.3               0.0              ?          0.429          0.007             3.2              1.9             0.2               1.8               3.5               0.1            -0.0              0.0             0.0                   0.000            0.0                0.922             0.0         29.880              ?              ?           10.2        24661.6          0.009          0.677          1.339          2.978          2.464          1.705          1.258          0.556          4.584         14.349          0.518         14.867          0.157          0.227          0.253          0.280          0.284         23.187         22.385         21.549         20.488         19.405            0.000          1.000          0.927          1.000          0.293            4.6        617.419         21.929           2008                  0.0              ?
     20/05/2008          236.1          103.9           2.392            1.4             84.8             74.0             72.5              86.3              75.5              74.3            0.0              5.6              0.0       2800.000              ?              ?              ?            0.0             1.1            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3541.4           76.1          219.3       265648.8          190.3               4.8          0.003            0.0            3.3                1.0              0.4          0.000            3.5           0.041           21.521           53.7            5.0          0.469          0.534          0.595          3.147          0.187             1.1            1.1             0.0            0.0            0.3           58.0            0.3               0.0              ?          0.445          0.007             3.0              1.8             0.2               1.5               3.3               0.1            -0.0              0.0             0.0                   0.000            0.0                0.921             0.0         29.737              ?              ?           10.0        24661.3          0.009          0.677          1.345          2.978          2.463          1.705          1.258          0.556          3.745         14.051          0.631         14.682          0.158          0.222          0.251          0.278          0.282         22.995         22.018         21.250         20.407         19.574            0.000          1.000          0.803          1.000          0.294            4.0        609.772         21.916           2008                  0.0              ?
     21/05/2008          247.9          108.8           2.398            1.5             89.7             77.6             76.0              91.2              79.0              77.7            0.0              5.9              0.0       2800.000              ?              ?              ?            0.0             1.1            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3537.9           76.5          214.8       265643.8          191.3               4.7          0.003            0.0            3.2                0.9              0.5          0.000            3.5           0.041           21.595           54.4            5.0          0.477          0.437          0.885          3.746          0.196             1.1            1.1             0.0            0.0            0.4           58.8            0.4               0.0              ?          0.467          0.006             2.8              1.7             0.2               1.4               3.2               0.1            -0.0              0.0             0.0                   0.000            0.0                0.922             0.0         29.625              ?              ?            9.8        24660.9          0.009          0.677          1.350          2.977          2.463          1.705          1.258          0.556          4.627         13.472          0.528         13.999          0.154          0.217          0.248          0.276          0.281         21.756         21.363         20.956         20.381         19.699            0.000          1.000          0.866          1.000          0.294            5.3        602.370         21.906           2008                  0.0              ?
     22/05/2008          261.1          114.2           2.404            1.6             95.3             81.5             79.8              96.7              83.0              81.5            0.0              6.3              0.0       2800.000              ?              ?              ?            0.0             1.1            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3534.3           76.9          210.4       265638.8          192.1               4.5          0.003            0.0            3.2                0.9              0.5          0.000            3.5           0.042           21.666           55.1            5.0          0.464          0.365          0.496          3.673          0.205             1.1            1.1             0.0            0.0            0.4           59.5            0.4               0.0              ?          0.491          0.006             2.7              1.6             0.2               1.3               3.2               0.1            -0.0              0.0             0.0                   0.000            0.0                0.922             0.0         29.489              ?              ?            9.6        24660.5          0.009          0.677          1.356          2.977          2.463          1.704          1.258          0.556          4.910         13.229          0.555         13.784          0.150          0.212          0.246          0.274          0.280         21.867         21.201         20.665         20.085         19.506            0.000          1.000          0.717          1.000          0.295            5.9        596.901         21.895           2008                  0.0              ?
     23/05/2008          274.2          119.6           2.410            1.6            100.7             85.5             83.6             102.1              86.8              85.2            0.0              6.6              0.0       2800.000              ?              ?              ?            0.0             1.1            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3531.5           74.1          206.0       265634.3          185.4               4.4          0.003            0.0            3.1                0.8              0.5          1.000            3.4           0.041           21.735           56.1            4.9          0.416          3.209          0.449          3.209          0.213             1.1            1.1            -0.0            0.0            0.4           60.3            0.4               0.0              ?          0.515          0.006             2.8              1.7             0.2               1.4               3.1               0.1            -0.0              1.1             0.1                   0.000            0.0                0.922             0.0         29.354              ?              ?            9.4        24660.4          0.009          0.677          1.363          2.977          2.463          1.704          1.258          0.556          4.633         13.261          0.574         13.835          0.148          0.208          0.245          0.272          0.279         22.011         21.329         20.809         20.211         19.591            0.000          0.993          0.672          1.000          0.298            5.9        592.375         21.884           2008                  0.0              ?
     24/05/2008          278.1          121.1           2.412            1.7            102.5             86.7             84.6             103.9              88.0              86.3            0.0              6.7              0.0       2800.000              ?              ?              ?            0.0             1.0            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3529.1           71.2          202.1       265630.2          178.1               4.3          0.003            0.0            3.0                0.8              0.5          0.984            3.2           0.039           21.833           56.8            4.9          0.468          1.345          0.348          1.345          0.216             1.0            1.0            -0.0            0.0            0.1           60.8            0.1               0.0              ?          0.522          0.006             2.4              1.5             0.2               1.2               2.8               0.1            -0.0              1.2             0.1                   0.000            0.0                0.920             0.0         29.234              ?              ?            9.2        24660.3          0.008          0.677          1.368          2.977          2.463          1.704          1.258          0.556          2.007         14.954          0.566         15.520          0.347          0.320          0.261          0.271          0.278         18.724         19.369         19.611         19.582         19.314            0.000          0.994          0.769          1.000          0.298            2.0        587.704         21.872           2008                  0.0              ?
