ApsimVersion = 7.6
Title = PFnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     02/10/2008          812.3         2216.1          359.6
     03/10/2008          827.5         2206.9          361.5
     04/10/2008          848.4         2198.1          356.5
     05/10/2008          859.6         2182.6          351.5
     06/10/2008          870.2         2166.4          333.1
     07/10/2008          884.2         2158.8          327.3
     08/10/2008          889.8         2149.6          320.0
     09/10/2008          899.0         2140.2          313.0
     10/10/2008          916.6         2128.7          304.5
     11/10/2008          928.9         2114.5          294.1
     12/10/2008          938.6         2098.7          283.4
     13/10/2008          952.7         2090.1          277.0
     14/10/2008          969.6         2086.9          275.3
     15/10/2008          989.0         2083.0          273.1
     16/10/2008          994.4         2080.2          271.5
     17/10/2008         1010.2         2077.6          270.0
     18/10/2008         1025.2         2077.1          268.3
     19/10/2008         1030.2         2068.5          261.3
     20/10/2008         1051.1         2067.1          259.1
     21/10/2008         1053.0         2067.4          258.1
     22/10/2008         1060.4         2066.1          256.5
     23/10/2008         1068.1         2065.6          255.3
     24/10/2008         1073.5         2066.4          254.1
     25/10/2008         1072.2         2061.7          251.2
     26/10/2008         1076.8         2061.8          250.3
     27/10/2008         1076.8         2061.8          250.3
     28/10/2008         1076.8         2061.8          250.0
     29/10/2008         1075.7         2058.1          248.0
     30/10/2008         1077.9         2051.9          244.2
     31/10/2008         1088.5         2044.0          238.2
     01/11/2008         1110.4         2040.4          235.2
     02/11/2008         1121.2         2031.2          229.5
     03/11/2008         1128.5         2020.7          223.9
     04/11/2008         1132.3         2009.6          218.9
     05/11/2008         1136.3         2000.8          212.1
     06/11/2008         1145.2         1999.9          211.3
     07/11/2008         1145.2         1999.9          211.3
     08/11/2008         1145.2         1999.9          211.3
     09/11/2008         1145.2         1999.9          211.3
     10/11/2008         1145.5         1999.9          210.7
     11/11/2008         1145.5         1999.9          210.5
     12/11/2008         1146.1         2000.0          209.8
     13/11/2008         1144.7         1998.2          209.3
     14/11/2008         1145.2         1998.2          208.7
     15/11/2008         1145.2         1998.2          208.7
     16/11/2008         1145.2         1998.2          208.7
     17/11/2008         1145.2         1998.2          208.7
     18/11/2008         1145.2         1998.2          208.7
     19/11/2008         1145.2         1998.2          208.5
     20/11/2008         1145.2         1998.2          208.5
     21/11/2008         1145.2         1998.2          208.5
     22/11/2008         1145.2         1998.2          208.5
     23/11/2008         1145.2         1998.2          208.5
     24/11/2008         1145.2         1998.2          208.4
     25/11/2008         1145.2         1998.2          208.4
     26/11/2008         1145.2         1998.2          208.4
     27/11/2008         1145.2         1998.2          208.4
     28/11/2008         1145.2         1998.2          208.3
     29/11/2008         1145.2         1998.2          208.3
     30/11/2008         1145.2         1998.2          208.3
     01/12/2008         1145.2         1998.2          208.3
     02/12/2008         1145.2         1998.2          208.3
     03/12/2008         1145.2         1998.2          208.3
     04/12/2008         1145.2         1998.2          208.3
     05/12/2008         1145.2         1998.2          208.3
     06/12/2008         1145.2         1998.2          208.3
     07/12/2008         1145.2         1998.2          208.3
     08/12/2008         1145.2         1998.2          208.3
     09/12/2008         1145.2         1998.2          208.3
     10/12/2008         1145.2         1998.2          208.3
     11/12/2008         1145.2         1998.2          208.3
     12/12/2008         1145.2         1998.2          208.3
     13/12/2008         1145.2         1998.2          207.8
     14/12/2008         1145.2         1998.2          207.8
     15/12/2008         1145.2         1998.2          207.8
     16/12/2008         1145.2         1998.2          207.8
     17/12/2008         1145.2         1998.2          207.8
     18/12/2008         1145.2         1998.2          207.8
     19/12/2008         1145.2         1998.2          207.8
     20/12/2008         1145.2         1998.2          207.8
     21/12/2008         1145.2         1998.2          207.8
     22/12/2008         1145.2         1998.2          207.8
     23/12/2008         1145.2         1998.2          207.8
     24/12/2008         1145.2         1998.2          207.8
     25/12/2008         1145.2         1998.2          207.8
     26/12/2008         1145.2         1998.2          207.0
     27/12/2008         1145.2         1998.2          207.0
     28/12/2008         1145.2         1998.2          207.0
     29/12/2008         1145.2         1998.2          207.0
     30/12/2008         1145.2         1998.2          207.0
     31/12/2008         1145.2         1998.2          207.0
     01/01/2009         1145.2         1998.2          207.0
     02/01/2009         1145.2         1998.2          207.0
     03/01/2009         1145.2         1998.2          207.0
     04/01/2009         1145.2         1998.2          207.0
     05/01/2009         1145.2         1998.2          207.0
     06/01/2009         1145.2         1998.2          207.0
     07/01/2009         1145.2         1998.2          207.0
     08/01/2009         1145.2         1998.2          207.0
     09/01/2009         1145.2         1998.2          207.0
     10/01/2009         1145.2         1998.2          207.0
     11/01/2009         1145.2         1998.2          207.0
     12/01/2009         1145.2         1998.2          207.0
     13/01/2009         1145.2         1998.2          207.0
     14/01/2009         1145.2         1998.2          207.0
     15/01/2009         1145.2         1998.2          207.0
     16/01/2009         1145.2         1998.2          207.0
     17/01/2009         1145.2         1998.2          207.0
     18/01/2009         1145.2         1998.2          207.0
     19/01/2009         1145.2         1998.2          207.0
     20/01/2009         1145.2         1998.2          207.0
     21/01/2009         1145.2         1998.2          207.0
     22/01/2009         1145.2         1998.2          207.0
     23/01/2009         1145.2         1998.2          207.0
     24/01/2009         1145.2         1998.2          207.0
     25/01/2009         1145.2         1998.2          207.0
     26/01/2009         1145.2         1998.2          207.0
     27/01/2009         1145.2         1998.2          207.0
     28/01/2009         1145.2         1998.2          207.0
     29/01/2009         1145.2         1998.2          207.0
     30/01/2009         1145.2         1998.2          207.0
     31/01/2009         1145.2         1998.2          207.0
     01/02/2009         1145.2         1998.2          207.0
     02/02/2009         1145.2         1998.2          207.0
     03/02/2009         1145.2         1998.2          207.0
     04/02/2009         1145.2         1998.2          207.0
     05/02/2009         1145.2         1998.2          207.0
     06/02/2009         1145.2         1998.2          206.9
     07/02/2009         1145.2         1998.2          206.3
     08/02/2009         1145.2         1998.2          206.3
     09/02/2009         1143.9         1996.5          205.8
     10/02/2009         1154.1         1995.0          204.6
     11/02/2009         1154.1         1995.0          204.5
     12/02/2009         1154.1         1995.0          204.4
     13/02/2009         1154.1         1995.0          204.4
     14/02/2009         1154.1         1995.0          204.4
     15/02/2009         1154.1         1995.0          204.4
     16/02/2009         1154.1         1995.0          204.4
     17/02/2009         1154.1         1995.0          204.4
     18/02/2009         1154.1         1995.0          204.4
     19/02/2009         1154.1         1995.0          204.4
     20/02/2009         1154.1         1995.0          204.4
     21/02/2009         1154.1         1995.0          204.4
     22/02/2009         1154.1         1995.0          204.4
     23/02/2009         1154.1         1995.0          204.4
     24/02/2009         1154.1         1995.0          204.0
     25/02/2009         1153.3         1994.7          203.9
