date,sump,trt,flow_ft3,NO3Nppm
7/13/2009,12,CC,0,
7/13/2009,22,S2,0,
7/13/2009,13,P,0,
7/13/2009,23,PF,0,
7/13/2009,14,CCW,0,
7/13/2009,24,P,0,
7/13/2009,15,PF,0,
7/13/2009,25,CCW,0,
7/13/2009,16,S2,0,
7/13/2009,26,C2,0,
7/13/2009,31,P,0,
7/13/2009,41,PF,0,
7/13/2009,32,PF,0,
7/13/2009,42,CCW,0,
7/13/2009,33,C2,0,
7/13/2009,43,CC,0,
7/13/2009,34,S2,0,
7/13/2009,44,C2,0,
7/13/2009,35,CC,0,
7/13/2009,45,S2,0,
7/13/2009,36,CCW,0,
7/13/2009,46,P,0,
7/16/2009,11,C2,0,
7/16/2009,21,CC,0,
7/16/2009,12,CC,0,
7/16/2009,22,S2,0,
7/16/2009,13,P,0,
7/16/2009,23,PF,0,
7/16/2009,14,CCW,0,
7/16/2009,24,P,0,
7/16/2009,15,PF,0,
7/16/2009,25,CCW,0,
7/16/2009,16,S2,0,
7/16/2009,26,C2,0,
7/16/2009,31,P,0,
7/16/2009,41,PF,0,
7/16/2009,32,PF,0,
7/16/2009,42,CCW,0,
7/16/2009,33,C2,0,
7/16/2009,43,CC,0,
7/16/2009,34,S2,0,
7/16/2009,44,C2,0,
7/16/2009,35,CC,0,
7/16/2009,45,S2,0,
7/16/2009,36,CCW,0,
7/16/2009,46,P,0,
7/20/2009,11,C2,0,
7/20/2009,21,CC,0,
7/20/2009,12,CC,0,
7/20/2009,22,S2,1.26,
7/20/2009,13,P,0.16,
7/20/2009,23,PF,0.17,
7/20/2009,14,CCW,0,
7/20/2009,24,P,0,
7/20/2009,15,PF,0,
7/20/2009,25,CCW,0.18,
7/20/2009,16,S2,0,
7/20/2009,26,C2,0,
7/20/2009,31,P,1.23,
7/20/2009,41,PF,0.14,
7/20/2009,32,PF,1.28,
7/20/2009,42,CCW,0,
7/20/2009,33,C2,0.21,
7/20/2009,43,CC,0,
7/20/2009,34,S2,0,
7/20/2009,44,C2,0,
7/20/2009,35,CC,0,
7/20/2009,45,S2,1.21,
7/20/2009,36,CCW,0,
7/20/2009,46,P,0,
7/23/2009,11,C2,0,
7/23/2009,21,CC,0.33,
7/23/2009,12,CC,0,
7/23/2009,22,S2,0,
7/23/2009,13,P,0,
7/23/2009,23,PF,0,
